Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas231           Pavarde231               7    10    10    10     5     4
Vardas232           Pavarde232               2     6     8     2     5     1
Vardas233           Pavarde233               3     5     9     2     8     1
Vardas234           Pavarde234               1     4     0     5     0     9
Vardas235           Pavarde235               4     2     6     8     3     5
Vardas236           Pavarde236               3     2     1     5     8     6
Vardas237           Pavarde237               2     1     1     2     2     5
Vardas238           Pavarde238              10    10    10     2     4     2
Vardas239           Pavarde239               4     4    10     3     8     3
Vardas240           Pavarde240               7     6     2     6     5     1
Vardas241           Pavarde241              10     3     1     6     7     4
Vardas242           Pavarde242               5     4     9    10     5     2
Vardas243           Pavarde243              10     3     1     2     6     7
Vardas244           Pavarde244               5     7     4     4     3     3
Vardas245           Pavarde245               7     9     8     1     2     9
Vardas246           Pavarde246               9     7     3     5     0     0
Vardas247           Pavarde247               0     3     6     7     5     2
Vardas248           Pavarde248               1     6     7     4     7     9
Vardas249           Pavarde249               2     2     8     8     1     6
Vardas250           Pavarde250               5     0     5     1     8     4
Vardas251           Pavarde251               8     2     0     1    10    10
Vardas252           Pavarde252               7     2     4    10     9     3
Vardas253           Pavarde253               9     9     5     5     6     5
Vardas254           Pavarde254               1     9     6    10     8     9
Vardas255           Pavarde255              10     4     9    10     8     2
Vardas256           Pavarde256               8    10     5     0     8     5
Vardas257           Pavarde257               5     9     0     4     0     7
Vardas258           Pavarde258              10     2     8     6     9     7
Vardas259           Pavarde259               5     4     6     9     4     3
Vardas260           Pavarde260               6    10     1    10     3     2
Vardas261           Pavarde261               1     1     7     5     8     8
Vardas262           Pavarde262               3     3     3     1     2    10
Vardas263           Pavarde263               4     7     2     3     9     4
Vardas264           Pavarde264               6     9     5     2     1     7
Vardas265           Pavarde265               7     6     4     0     0    10
Vardas266           Pavarde266               8     2     9     1     2     1
Vardas267           Pavarde267              10     7     3     3     0     0
Vardas268           Pavarde268               4     7     8     6     8    10
Vardas269           Pavarde269               2     1     0     5     3     9
Vardas270           Pavarde270               0     3    10     5     7     7
Vardas271           Pavarde271              10     2     2     8     8     5
Vardas272           Pavarde272               7     2     5     7     5     2
Vardas273           Pavarde273               1     0     1    10     3     6
Vardas274           Pavarde274               1     8     2     1     9     2
Vardas275           Pavarde275              10     6    10     5     9     4
Vardas276           Pavarde276               0     7     0    10     3     9
Vardas277           Pavarde277              10     7     3     7     8     1
Vardas278           Pavarde278               7     0     0     6     3     0
Vardas279           Pavarde279               4     7     1     9     9     4
Vardas280           Pavarde280               0     9     2     5     8     9
Vardas281           Pavarde281               4     3     2     2     6     2
Vardas282           Pavarde282               5     0     1     2     5     7
Vardas283           Pavarde283               0     1     2     2     0     9
Vardas284           Pavarde284               8    10     0    10     8     4
Vardas285           Pavarde285               5     3     9    10     9     0
Vardas286           Pavarde286               3     9     9     9     4     9
Vardas287           Pavarde287               7     2     6     0     4     3
Vardas288           Pavarde288               2     7     7     3     1    10
Vardas289           Pavarde289               9     9     7     8     4     8
Vardas290           Pavarde290              10     4     0     1     5     9
Vardas291           Pavarde291               9     5     0     9     2     0
Vardas292           Pavarde292              10     4     5     3     7     1
Vardas293           Pavarde293               6     3     2     5     9     8
Vardas294           Pavarde294               4     7     3    10     5     2
Vardas295           Pavarde295               8     6     5     7     8     4
Vardas296           Pavarde296               5     9     7     5     1     8
Vardas297           Pavarde297               7     7     3     1     2     9
Vardas298           Pavarde298               0     5     4     2     9     3
Vardas299           Pavarde299               9     6     6     2     3     2
Vardas300           Pavarde300               8    10     1     7     6     8
Vardas301           Pavarde301               6     7    10     1     2     6
Vardas302           Pavarde302               5     9     1     0     2     5
Vardas303           Pavarde303               9     5     0     3     8     5
Vardas304           Pavarde304               5     6    10     9     9     8
Vardas305           Pavarde305               7     3     5     3     7     8
Vardas306           Pavarde306               5     3     7     9     5     4
Vardas307           Pavarde307               0     6     9     7     9     2
Vardas308           Pavarde308               5     5     5     8     6     4
Vardas309           Pavarde309               5     9     8     2     0     8
Vardas310           Pavarde310               4     9    10     5     6     9
Vardas311           Pavarde311               2     3     9     5     8     2
Vardas312           Pavarde312               7     8     9     2     5     2
Vardas313           Pavarde313               5     6     4     5     0     2
Vardas314           Pavarde314               2     5    10     5     6     4
Vardas315           Pavarde315               6     8     8     0     1     5
Vardas316           Pavarde316               4     6    10     3     3     5
Vardas317           Pavarde317               2     0     9     5     3     3
Vardas318           Pavarde318               6     7     5     4     5     8
Vardas319           Pavarde319               7     9     5     3     3     2
Vardas320           Pavarde320               8     7     5     3     5     0
Vardas321           Pavarde321               8     8     4     6     6     4
Vardas322           Pavarde322              10     4     7    10     7     4
Vardas323           Pavarde323               0     9     7     6     2     1
Vardas324           Pavarde324               2     6     2     5     5     1
Vardas325           Pavarde325              10     6    10     0     9     8
Vardas326           Pavarde326               7     8     5     3     2     7
Vardas327           Pavarde327               5     6    10     1     2     2
Vardas328           Pavarde328               0     6     4     0     7     1
Vardas329           Pavarde329              10     5     4     9     7     0
Vardas330           Pavarde330              10     4     7     8     4     6
Vardas331           Pavarde331               8    10     2     5    10     8
Vardas332           Pavarde332               0     6     2     8     9     3
Vardas333           Pavarde333               6     8     1     2     1    10
Vardas334           Pavarde334               6     2     4    10     0     6
Vardas335           Pavarde335               7     6     5     2    10     4
Vardas336           Pavarde336               9     0     1     5     7     3
Vardas337           Pavarde337              10     3     7     7     8     3
Vardas338           Pavarde338               1     6     8     0     0     3
Vardas339           Pavarde339               7     9     3    10     5     3
Vardas340           Pavarde340               4     4     5     4     3     5
Vardas341           Pavarde341               4     7     4     1     1     2
Vardas342           Pavarde342               5    10     8     7     8     7
Vardas343           Pavarde343               0     2     9     1     2     0
Vardas344           Pavarde344               8     9     4     2     6    10
Vardas345           Pavarde345              10     6     1     8     7     5
Vardas346           Pavarde346               4     0     5     6     0     3
Vardas347           Pavarde347               6     0     5    10     0     4
Vardas348           Pavarde348               9     6     8     9     9     5
Vardas349           Pavarde349               2     6     6     4     8     4
Vardas350           Pavarde350               9     8     7     3     8     4
Vardas351           Pavarde351               1     5     6     7     1     4
Vardas352           Pavarde352               3     0     4     9     6     0
Vardas353           Pavarde353               2     4     6     5     7     6
Vardas354           Pavarde354               7     4     1     9     9     5
Vardas355           Pavarde355               3     9     2     9     1     9
Vardas356           Pavarde356               3     2     7     8    10     7
Vardas357           Pavarde357               1     3     7     4     5    10
Vardas358           Pavarde358               2     4     0     1     2     2
Vardas359           Pavarde359               7     1     7     1    10     7
Vardas360           Pavarde360               6     4     2     3     5     5
Vardas361           Pavarde361               3     1     9     6    10     8
Vardas362           Pavarde362               0     5     6    10     0     7
Vardas363           Pavarde363               7     4     5     2     7    10
Vardas364           Pavarde364               9     9     4     7     8     2
Vardas365           Pavarde365               1     6     3     7    10     6
Vardas366           Pavarde366               1     8     8     7     8     0
Vardas367           Pavarde367               7     2     4     4     6     5
Vardas368           Pavarde368               3     4     8     5     5     5
Vardas369           Pavarde369               7     5    10     6     6     1
Vardas370           Pavarde370               7     5     6     4     6    10
Vardas371           Pavarde371               9     4     6     7     2     4
Vardas372           Pavarde372               6     8     5     8     8     3
Vardas373           Pavarde373               6    10     9     7     8     7
Vardas374           Pavarde374               6     2     2     1     3     2
Vardas375           Pavarde375               9     3     8     2     5    10
Vardas376           Pavarde376               4     6     0     7     6    10
Vardas377           Pavarde377               2     0     1     1     0     3
Vardas378           Pavarde378               3     2     9     5     2     8
Vardas379           Pavarde379               1     2     4    10     0     9
Vardas380           Pavarde380               8     7     8     0     4     8
Vardas381           Pavarde381               0     3     7    10     8     6
Vardas382           Pavarde382               1     2     3     8     6     8
Vardas383           Pavarde383               0     8     1     8    10     3
Vardas384           Pavarde384               9     3     8     9     7     4
Vardas385           Pavarde385               0     1     3     6     0     2
Vardas386           Pavarde386               2     1     2     5     8     9
Vardas387           Pavarde387               5    10     3    10     1     5
Vardas388           Pavarde388               9     8     0     1    10     5
Vardas389           Pavarde389               9     9     9     4     3     2
Vardas390           Pavarde390               5    10     9     2     6     5
Vardas391           Pavarde391               1    10     9     6     0     8
Vardas392           Pavarde392               2     6     1     3     6     6
Vardas393           Pavarde393               2     6     6     5     6     3
Vardas394           Pavarde394               2    10     1     6     3     4
Vardas395           Pavarde395               4     0     2     8     5     7
Vardas396           Pavarde396               9     4     7     3     8     9
Vardas397           Pavarde397               6     1     9     7    10     7
Vardas398           Pavarde398               7     3     0     1     5     9
Vardas399           Pavarde399               0     8    10     2     8     0
Vardas400           Pavarde400               6     1     8     1     1     0
Vardas401           Pavarde401               2     0     0     9     2     7
Vardas402           Pavarde402               8     5     7     2     5     9
Vardas403           Pavarde403               0     6     1    10    10     8
Vardas404           Pavarde404               3     7     1     7     2     5
Vardas405           Pavarde405               2     9     2     3    10     5
Vardas406           Pavarde406               1     6     3     0     0     6
Vardas407           Pavarde407               0     4     7     3     5     2
Vardas408           Pavarde408               4     6     5     4     3     4
Vardas409           Pavarde409               4     7     2     7     2     4
Vardas410           Pavarde410               6     7     3     9     0     7
Vardas411           Pavarde411               5     2     8     3    10     2
Vardas412           Pavarde412               3     7     7     7     1     3
Vardas413           Pavarde413               7     9     9     2     4     9
Vardas414           Pavarde414               2     6     1     6     6     3
Vardas415           Pavarde415               6     5     3     7     6     6
Vardas416           Pavarde416              10     7     0     2     7     8
Vardas417           Pavarde417               1     8    10     7     6     1
Vardas418           Pavarde418               1     9     3     6     7     8
Vardas419           Pavarde419               8     7     5     7     9     0
Vardas420           Pavarde420               9    10     9     4     6     0
Vardas421           Pavarde421               8     3     3     6     1     9
Vardas422           Pavarde422               7     3     1     4    10     1
Vardas423           Pavarde423               1     5     5     0     1     4
Vardas424           Pavarde424               5     4     6     3     8     5
Vardas425           Pavarde425               6     9    10    10     3    10
Vardas426           Pavarde426               9     1     4     9     5     8
Vardas427           Pavarde427              10     4     7     6     8     3
Vardas428           Pavarde428              10     4     5     5    10     9
Vardas429           Pavarde429              10     8     5     9     8    10
Vardas430           Pavarde430               1    10     2     9     7     2
Vardas431           Pavarde431               2     9     9     4    10     5
Vardas432           Pavarde432               1    10     2     3     3     4
Vardas433           Pavarde433               5     4     0     9     3     8
Vardas434           Pavarde434              10     8     4    10     8     0
Vardas435           Pavarde435               4     4     4     2     1     0
Vardas436           Pavarde436               3     8    10     9     9     0
Vardas437           Pavarde437              10     3     1     3     3     0
Vardas438           Pavarde438               7     9     8     3     6     5
Vardas439           Pavarde439               7     3     3     6     6     7
Vardas440           Pavarde440               0     0     1     7     3     2
Vardas441           Pavarde441               5     3     2     1     7    10
Vardas442           Pavarde442               5    10     0     6     5     3
Vardas443           Pavarde443               7     2    10    10     0     8
Vardas444           Pavarde444               2     2     7     0    10     7
Vardas445           Pavarde445              10     2    10     7     1     9
Vardas446           Pavarde446               0     8     7    10     2     2
Vardas447           Pavarde447               8     3     6     0     4     7
Vardas448           Pavarde448               9     7     5     5     6     1
Vardas449           Pavarde449               0     9     6     7     9     1
Vardas450           Pavarde450               4     2     2     7     2    10
Vardas451           Pavarde451               0     4     8     4     7    10
Vardas452           Pavarde452               0     1     3     8     5     0
Vardas453           Pavarde453               7     3     4     7     2     7
Vardas454           Pavarde454               1     1     8     5     6     8
Vardas455           Pavarde455               1     9     8     5     1     4
Vardas456           Pavarde456               3    10     7     5     1     6
Vardas457           Pavarde457               9     9     7     5     6    10
Vardas458           Pavarde458               1     3     0     8     0     6
Vardas459           Pavarde459               0     6     6     1     9     7
Vardas460           Pavarde460               5     6    10     2     0     3
Vardas461           Pavarde461               3     6     4     6     8     6
Vardas462           Pavarde462               8     6     0     8     5     0
Vardas463           Pavarde463               6     8     4     4     2     0
Vardas464           Pavarde464               7     4     3     2     0     5
Vardas465           Pavarde465               6    10     7     7     2     9
Vardas466           Pavarde466               8     6     2    10     0     7
Vardas467           Pavarde467               3     2     9     6     6     6
Vardas468           Pavarde468               0     0     6    10     9     6
Vardas469           Pavarde469               1     4     7     3     2     8
Vardas470           Pavarde470               9     2     3     2     8     0
Vardas471           Pavarde471               0    10     5     9     6     9
Vardas472           Pavarde472               1     8     8     9     3     6
Vardas473           Pavarde473               3     5    10     0     7     9
Vardas474           Pavarde474               7     8     3     3     2     7
Vardas475           Pavarde475               0     1     3     2     2     1
Vardas476           Pavarde476               7     8     5     3     3     8
Vardas477           Pavarde477               8     3     7     4    10     4
Vardas478           Pavarde478               6     3     6     6     3    10
Vardas479           Pavarde479               8     0     9    10    10     3
Vardas480           Pavarde480               0     6     8     8     4     3
Vardas481           Pavarde481               7    10     4     6     7     4
Vardas482           Pavarde482               8     5     4     6     9     6
Vardas483           Pavarde483               4     6     3     7     0     1
Vardas484           Pavarde484               2     1     9     4    10     9
Vardas485           Pavarde485               3     8     0     0     7    10
Vardas486           Pavarde486              10    10     9     5     1     2
Vardas487           Pavarde487               6     1     7     2     9     9
Vardas488           Pavarde488               1     8     8     2     4     9
Vardas489           Pavarde489               8     6     1    10     0     5
Vardas490           Pavarde490               3     0     5     5     1     7
Vardas491           Pavarde491               9     1     4     7     0     2
Vardas492           Pavarde492               5     0     2     2     0     1
Vardas493           Pavarde493               7     9     3     6     8     3
Vardas494           Pavarde494               8     4     8     4     5     5
Vardas495           Pavarde495               3     3     3     0     9    10
Vardas496           Pavarde496               9     3     3     8     8     8
Vardas497           Pavarde497               3     1     1     7     5     6
Vardas498           Pavarde498              10     9     1    10     1     2
Vardas499           Pavarde499              10     0     8     6    10     0
Vardas500           Pavarde500               2    10     6     9     4     2
Vardas501           Pavarde501               4     2     5     3     1     6
Vardas502           Pavarde502               0     2     9     7     0     0
Vardas503           Pavarde503               2     4     0     4     9     8
Vardas504           Pavarde504               9     0     6     4     8     2
Vardas505           Pavarde505               9     3     3     0     6     2
Vardas506           Pavarde506               4     5     3     1     8     1
Vardas507           Pavarde507               4     3     9     2     6     3
Vardas508           Pavarde508               4     4     3     6     9     0
Vardas509           Pavarde509               9     0     7     8     4    10
Vardas510           Pavarde510               7     5     8     7     2     7
Vardas511           Pavarde511               4     5     5     9     5     9
Vardas512           Pavarde512               8     9    10     7     3     3
Vardas513           Pavarde513               9     7     5     3     8     5
Vardas514           Pavarde514               4     3     7     7     1     5
Vardas515           Pavarde515               8     7     2     9     2     3
Vardas516           Pavarde516               2     0     7     9     7     4
Vardas517           Pavarde517               4     2     7     6     8     6
Vardas518           Pavarde518               8     4     4     1     9     0
Vardas519           Pavarde519               2     4     3     4     4     4
Vardas520           Pavarde520               1     7     1     3     7    10
Vardas521           Pavarde521               0    10     0     0     3     8
Vardas522           Pavarde522               6     4     5     7     6    10
Vardas523           Pavarde523              10     1     7     9     7     8
Vardas524           Pavarde524               4     6     5     6     5     4
Vardas525           Pavarde525               5     5     6     1    10     3
Vardas526           Pavarde526               1     4     0     7     7     5
Vardas527           Pavarde527               0     8     6     7     1     4
Vardas528           Pavarde528               4    10     0     2     6     0
Vardas529           Pavarde529               0    10     2     8     4     7
Vardas530           Pavarde530               1     3    10     8     7     9
Vardas531           Pavarde531               5     2     7     2     9     6
Vardas532           Pavarde532               2     8     6     2    10     4
Vardas533           Pavarde533               0     9     8    10     2     3
Vardas534           Pavarde534               8     1     0     1     4     6
Vardas535           Pavarde535               6     2     0     9     2     7
Vardas536           Pavarde536               9     6     2    10     6     6
Vardas537           Pavarde537               0     0     0     5     7     9
Vardas538           Pavarde538               5     9     5     5     8     5
Vardas539           Pavarde539               2     5     1     1     0     9
Vardas540           Pavarde540               5     4     9    10     0     5
Vardas541           Pavarde541               2     2     9     8     4     3
Vardas542           Pavarde542               3     5     7     1     7     9
Vardas543           Pavarde543               0     4     8     0    10    10
Vardas544           Pavarde544               8     7     7     2     2    10
Vardas545           Pavarde545               5     7     2     9     7     6
Vardas546           Pavarde546               6    10     3     0     4    10
Vardas547           Pavarde547               3     0     7     8     8     3
Vardas548           Pavarde548              10     0     2     6    10     8
Vardas549           Pavarde549               6     8     0     6     5     9
Vardas550           Pavarde550               4     3     7     4     4     0
Vardas551           Pavarde551              10    10     9     4     3     3
Vardas552           Pavarde552               7     2     1     3     5    10
Vardas553           Pavarde553               5     1     9     9    10     4
Vardas554           Pavarde554               2    10     0    10     3     2
Vardas555           Pavarde555               4     1     8     8     9     5
Vardas556           Pavarde556               1     3     1     0     7    10
