Pavarde        Vardas         Galutinis balas (vid.)        
Pavarde735     Vardas735      6.80                          
Pavarde736     Vardas736      6.56                          
Pavarde737     Vardas737      6.32                          
Pavarde739     Vardas739      7.32                          
Pavarde740     Vardas740      5.60                          
Pavarde741     Vardas741      5.16                          
Pavarde742     Vardas742      6.76                          
Pavarde743     Vardas743      6.28                          
Pavarde745     Vardas745      6.56                          
Pavarde747     Vardas747      6.48                          
Pavarde751     Vardas751      5.96                          
Pavarde755     Vardas755      7.80                          
Pavarde756     Vardas756      5.48                          
Pavarde758     Vardas758      5.04                          
Pavarde760     Vardas760      6.68                          
Pavarde765     Vardas765      6.88                          
Pavarde766     Vardas766      5.80                          
Pavarde767     Vardas767      5.68                          
Pavarde768     Vardas768      6.56                          
Pavarde769     Vardas769      6.60                          
Pavarde771     Vardas771      7.24                          
Pavarde772     Vardas772      5.64                          
Pavarde773     Vardas773      6.48                          
Pavarde780     Vardas780      6.92                          
Pavarde787     Vardas787      5.88                          
Pavarde788     Vardas788      6.24                          
Pavarde790     Vardas790      6.76                          
Pavarde793     Vardas793      5.84                          
Pavarde800     Vardas800      7.88                          
Pavarde801     Vardas801      6.20                          
Pavarde803     Vardas803      5.32                          
Pavarde805     Vardas805      5.36                          
Pavarde808     Vardas808      8.04                          
Pavarde809     Vardas809      6.16                          
Pavarde810     Vardas810      7.68                          
Pavarde818     Vardas818      6.88                          
Pavarde819     Vardas819      5.68                          
Pavarde820     Vardas820      6.76                          
Pavarde821     Vardas821      7.00                          
Pavarde822     Vardas822      6.68                          
Pavarde823     Vardas823      5.16                          
Pavarde824     Vardas824      7.44                          
Pavarde825     Vardas825      6.52                          
Pavarde827     Vardas827      6.00                          
Pavarde831     Vardas831      7.64                          
Pavarde832     Vardas832      7.24                          
Pavarde833     Vardas833      5.12                          
Pavarde837     Vardas837      7.32                          
Pavarde841     Vardas841      7.24                          
Pavarde844     Vardas844      6.28                          
Pavarde846     Vardas846      5.88                          
Pavarde849     Vardas849      7.36                          
Pavarde850     Vardas850      7.80                          
Pavarde852     Vardas852      5.16                          
Pavarde856     Vardas856      5.28                          
Pavarde861     Vardas861      6.28                          
Pavarde864     Vardas864      6.44                          
Pavarde868     Vardas868      6.96                          
Pavarde869     Vardas869      5.36                          
Pavarde870     Vardas870      6.88                          
Pavarde872     Vardas872      6.16                          
Pavarde875     Vardas875      6.80                          
Pavarde876     Vardas876      5.28                          
Pavarde883     Vardas883      5.60                          
Pavarde884     Vardas884      6.04                          
Pavarde889     Vardas889      5.48                          
Pavarde893     Vardas893      7.40                          
Pavarde896     Vardas896      6.00                          
Pavarde898     Vardas898      6.72                          
Pavarde901     Vardas901      6.56                          
Pavarde902     Vardas902      5.80                          
Pavarde903     Vardas903      5.40                          
Pavarde904     Vardas904      6.04                          
Pavarde909     Vardas909      5.56                          
Pavarde911     Vardas911      6.60                          
Pavarde914     Vardas914      5.32                          
Pavarde916     Vardas916      6.64                          
Pavarde917     Vardas917      7.44                          
Pavarde919     Vardas919      5.20                          
Pavarde921     Vardas921      5.36                          
Pavarde923     Vardas923      5.56                          
Pavarde927     Vardas927      6.88                          
Pavarde929     Vardas929      7.56                          
Pavarde930     Vardas930      5.04                          
Pavarde934     Vardas934      5.28                          
Pavarde936     Vardas936      5.52                          
Pavarde941     Vardas941      5.16                          
Pavarde944     Vardas944      6.56                          
Pavarde946     Vardas946      7.56                          
Pavarde950     Vardas950      7.56                          
Pavarde952     Vardas952      6.20                          
Pavarde956     Vardas956      7.00                          
Pavarde958     Vardas958      5.12                          
Pavarde959     Vardas959      6.20                          
Pavarde961     Vardas961      7.32                          
Pavarde962     Vardas962      6.96                          
Pavarde964     Vardas964      6.56                          
Pavarde967     Vardas967      5.44                          
Pavarde968     Vardas968      7.16                          
Pavarde969     Vardas969      7.16                          
Pavarde975     Vardas975      6.36                          
Pavarde980     Vardas980      5.68                          
Pavarde981     Vardas981      6.60                          
Pavarde987     Vardas987      6.76                          
Pavarde991     Vardas991      6.92                          
Pavarde992     Vardas992      5.60                          
Pavarde997     Vardas997      6.72                          
Pavarde1002    Vardas1002     6.84                          
Pavarde1003    Vardas1003     5.36                          
Pavarde1005    Vardas1005     6.24                          
Pavarde1006    Vardas1006     7.48                          
Pavarde1010    Vardas1010     5.56                          
Pavarde1015    Vardas1015     5.04                          
Pavarde1018    Vardas1018     5.32                          
Pavarde1022    Vardas1022     6.96                          
Pavarde1026    Vardas1026     6.80                          
Pavarde1029    Vardas1029     6.52                          
Pavarde1030    Vardas1030     5.92                          
Pavarde1031    Vardas1031     5.72                          
Pavarde1032    Vardas1032     5.56                          
Pavarde1036    Vardas1036     6.48                          
Pavarde1038    Vardas1038     6.72                          
Pavarde1041    Vardas1041     5.64                          
Pavarde1042    Vardas1042     5.40                          
Pavarde1044    Vardas1044     7.80                          
Pavarde1047    Vardas1047     5.20                          
Pavarde1049    Vardas1049     6.68                          
Pavarde1051    Vardas1051     6.52                          
Pavarde1055    Vardas1055     7.04                          
Pavarde1056    Vardas1056     5.00                          
Pavarde1058    Vardas1058     5.48                          
Pavarde1062    Vardas1062     5.80                          
Pavarde1064    Vardas1064     5.12                          
Pavarde1065    Vardas1065     5.16                          
Pavarde1066    Vardas1066     5.68                          
Pavarde1068    Vardas1068     6.40                          
Pavarde1069    Vardas1069     5.48                          
Pavarde1073    Vardas1073     6.08                          
Pavarde1076    Vardas1076     6.32                          
Pavarde1078    Vardas1078     5.88                          
Pavarde1083    Vardas1083     6.92                          
Pavarde1085    Vardas1085     7.12                          
Pavarde1092    Vardas1092     7.00                          
Pavarde1094    Vardas1094     6.48                          
Pavarde1100    Vardas1100     5.32                          
Pavarde1105    Vardas1105     6.52                          
Pavarde1110    Vardas1110     5.12                          
Pavarde1114    Vardas1114     5.92                          
Pavarde1115    Vardas1115     7.32                          
Pavarde1118    Vardas1118     7.04                          
Pavarde1119    Vardas1119     7.00                          
Pavarde1120    Vardas1120     6.56                          
Pavarde1123    Vardas1123     6.24                          
Pavarde1124    Vardas1124     5.44                          
Pavarde1127    Vardas1127     5.88                          
Pavarde1128    Vardas1128     5.80                          
Pavarde1129    Vardas1129     5.12                          
Pavarde1131    Vardas1131     7.64                          
Pavarde1136    Vardas1136     6.76                          
Pavarde1138    Vardas1138     5.20                          
Pavarde1141    Vardas1141     7.04                          
Pavarde1144    Vardas1144     6.64                          
Pavarde1145    Vardas1145     6.72                          
Pavarde1146    Vardas1146     7.36                          
Pavarde1147    Vardas1147     5.80                          
Pavarde1148    Vardas1148     5.20                          
Pavarde1149    Vardas1149     5.88                          
Pavarde1150    Vardas1150     6.20                          
Pavarde1151    Vardas1151     5.72                          
Pavarde1152    Vardas1152     6.48                          
Pavarde1155    Vardas1155     7.48                          
Pavarde1163    Vardas1163     5.40                          
Pavarde1164    Vardas1164     6.56                          
Pavarde1165    Vardas1165     5.56                          
Pavarde1170    Vardas1170     5.20                          
Pavarde1171    Vardas1171     7.52                          
Pavarde1172    Vardas1172     7.60                          
Pavarde1174    Vardas1174     6.32                          
Pavarde1175    Vardas1175     5.88                          
Pavarde1180    Vardas1180     6.48                          
Pavarde1181    Vardas1181     6.96                          
Pavarde1182    Vardas1182     5.20                          
Pavarde1187    Vardas1187     5.92                          
Pavarde1189    Vardas1189     5.68                          
Pavarde1191    Vardas1191     7.00                          
Pavarde1194    Vardas1194     6.60                          
Pavarde1195    Vardas1195     5.92                          
Pavarde1196    Vardas1196     6.68                          
Pavarde1204    Vardas1204     5.60                          
Pavarde1205    Vardas1205     6.68                          
Pavarde1208    Vardas1208     6.28                          
Pavarde1209    Vardas1209     6.00                          
Pavarde1210    Vardas1210     7.88                          
Pavarde1214    Vardas1214     6.04                          
Pavarde1215    Vardas1215     5.84                          
Pavarde1216    Vardas1216     5.44                          
Pavarde1220    Vardas1220     5.36                          
Pavarde1221    Vardas1221     7.40                          
Pavarde1222    Vardas1222     5.72                          
Pavarde1223    Vardas1223     7.00                          
Pavarde1226    Vardas1226     6.00                          
Pavarde1227    Vardas1227     7.80                          
Pavarde1228    Vardas1228     7.96                          
Pavarde1230    Vardas1230     5.16                          
Pavarde1235    Vardas1235     6.88                          
Pavarde1237    Vardas1237     7.24                          
Pavarde1239    Vardas1239     5.36                          
Pavarde1241    Vardas1241     6.76                          
Pavarde1249    Vardas1249     5.52                          
Pavarde1250    Vardas1250     6.08                          
Pavarde1251    Vardas1251     7.56                          
Pavarde1253    Vardas1253     5.76                          
Pavarde1254    Vardas1254     6.40                          
Pavarde1256    Vardas1256     6.68                          
Pavarde1257    Vardas1257     5.40                          
Pavarde1259    Vardas1259     6.04                          
Pavarde1260    Vardas1260     7.08                          
Pavarde1262    Vardas1262     7.72                          
Pavarde1264    Vardas1264     5.72                          
Pavarde1265    Vardas1265     5.88                          
Pavarde1270    Vardas1270     7.64                          
Pavarde1271    Vardas1271     5.88                          
Pavarde1272    Vardas1272     5.32                          
Pavarde1273    Vardas1273     6.72                          
Pavarde1276    Vardas1276     5.32                          
Pavarde1277    Vardas1277     5.12                          
Pavarde1280    Vardas1280     7.56                          
Pavarde1283    Vardas1283     6.72                          
Pavarde1287    Vardas1287     7.24                          
Pavarde1289    Vardas1289     5.00                          
Pavarde1291    Vardas1291     5.44                          
Pavarde1292    Vardas1292     7.44                          
Pavarde1293    Vardas1293     6.16                          
Pavarde1295    Vardas1295     5.20                          
Pavarde1299    Vardas1299     5.16                          
Pavarde1300    Vardas1300     6.80                          
Pavarde1301    Vardas1301     5.88                          
Pavarde1302    Vardas1302     5.12                          
Pavarde1303    Vardas1303     7.00                          
Pavarde1306    Vardas1306     5.28                          
Pavarde1307    Vardas1307     6.04                          
Pavarde1308    Vardas1308     5.56                          
Pavarde1315    Vardas1315     7.16                          
Pavarde1318    Vardas1318     5.96                          
Pavarde1319    Vardas1319     6.48                          
Pavarde1321    Vardas1321     7.24                          
Pavarde1325    Vardas1325     6.52                          
Pavarde1326    Vardas1326     8.20                          
Pavarde1328    Vardas1328     5.00                          
Pavarde1330    Vardas1330     6.48                          
Pavarde1331    Vardas1331     6.64                          
Pavarde1333    Vardas1333     5.20                          
Pavarde1336    Vardas1336     5.92                          
Pavarde1339    Vardas1339     7.00                          
Pavarde1348    Vardas1348     7.40                          
Pavarde1349    Vardas1349     5.96                          
Pavarde1351    Vardas1351     5.24                          
Pavarde1353    Vardas1353     7.36                          
Pavarde1354    Vardas1354     5.32                          
Pavarde1356    Vardas1356     7.20                          
Pavarde1358    Vardas1358     5.00                          
Pavarde1360    Vardas1360     6.80                          
Pavarde1361    Vardas1361     5.24                          
Pavarde1362    Vardas1362     7.40                          
Pavarde1363    Vardas1363     6.60                          
Pavarde1364    Vardas1364     6.16                          
Pavarde1365    Vardas1365     5.84                          
Pavarde1366    Vardas1366     5.80                          
Pavarde1368    Vardas1368     5.84                          
Pavarde1375    Vardas1375     5.28                          
Pavarde1378    Vardas1378     6.72                          
Pavarde1380    Vardas1380     5.80                          
Pavarde1383    Vardas1383     6.60                          
Pavarde1387    Vardas1387     5.56                          
Pavarde1389    Vardas1389     5.44                          
Pavarde1393    Vardas1393     5.00                          
Pavarde1394    Vardas1394     5.48                          
Pavarde1395    Vardas1395     6.04                          
Pavarde1398    Vardas1398     6.28                          
Pavarde1403    Vardas1403     6.76                          
Pavarde1405    Vardas1405     6.84                          
Pavarde1406    Vardas1406     7.68                          
Pavarde1411    Vardas1411     5.92                          
Pavarde1413    Vardas1413     6.56                          
Pavarde1415    Vardas1415     6.96                          
Pavarde1422    Vardas1422     6.16                          
Pavarde1423    Vardas1423     5.24                          
Pavarde1430    Vardas1430     6.28                          
Pavarde1432    Vardas1432     6.72                          
Pavarde1434    Vardas1434     5.52                          
Pavarde1436    Vardas1436     5.08                          
Pavarde1437    Vardas1437     5.40                          
Pavarde1439    Vardas1439     6.96                          
Pavarde1442    Vardas1442     8.28                          
Pavarde1451    Vardas1451     7.56                          
Pavarde1452    Vardas1452     6.84                          
Pavarde1458    Vardas1458     5.04                          
Pavarde1460    Vardas1460     5.88                          
Pavarde1461    Vardas1461     5.20                          
Pavarde1463    Vardas1463     5.00                          
Pavarde1468    Vardas1468     6.44                          
Pavarde1471    Vardas1471     6.60                          
Pavarde1477    Vardas1477     5.80                          
Pavarde1478    Vardas1478     6.56                          
Pavarde1479    Vardas1479     5.32                          
Pavarde1480    Vardas1480     6.44                          
Pavarde1481    Vardas1481     7.12                          
Pavarde1485    Vardas1485     7.08                          
Pavarde1488    Vardas1488     5.56                          
Pavarde1490    Vardas1490     7.04                          
Pavarde1491    Vardas1491     5.72                          
Pavarde1494    Vardas1494     6.32                          
Pavarde1498    Vardas1498     5.48                          
Pavarde1500    Vardas1500     6.48                          
Pavarde1501    Vardas1501     7.08                          
Pavarde1504    Vardas1504     5.00                          
Pavarde1505    Vardas1505     6.44                          
Pavarde1506    Vardas1506     7.40                          
Pavarde1509    Vardas1509     5.88                          
Pavarde1511    Vardas1511     6.40                          
Pavarde1514    Vardas1514     5.76                          
Pavarde1515    Vardas1515     5.92                          
Pavarde1516    Vardas1516     5.80                          
Pavarde1517    Vardas1517     5.08                          
Pavarde1518    Vardas1518     6.84                          
Pavarde1519    Vardas1519     7.96                          
Pavarde1521    Vardas1521     6.64                          
Pavarde1525    Vardas1525     5.28                          
Pavarde1527    Vardas1527     6.04                          
Pavarde1529    Vardas1529     5.88                          
Pavarde1531    Vardas1531     6.88                          
Pavarde1532    Vardas1532     5.80                          
Pavarde1534    Vardas1534     6.80                          
Pavarde1535    Vardas1535     5.32                          
Pavarde1545    Vardas1545     5.72                          
Pavarde1546    Vardas1546     5.88                          
Pavarde1547    Vardas1547     5.96                          
Pavarde1549    Vardas1549     6.40                          
Pavarde1551    Vardas1551     5.20                          
Pavarde1552    Vardas1552     6.52                          
Pavarde1555    Vardas1555     7.28                          
Pavarde1556    Vardas1556     5.00                          
Pavarde1559    Vardas1559     7.24                          
Pavarde1565    Vardas1565     6.52                          
Pavarde1567    Vardas1567     5.20                          
Pavarde1570    Vardas1570     6.08                          
Pavarde1576    Vardas1576     6.48                          
Pavarde1577    Vardas1577     7.00                          
Pavarde1578    Vardas1578     6.40                          
Pavarde1579    Vardas1579     5.24                          
Pavarde1583    Vardas1583     6.56                          
Pavarde1589    Vardas1589     7.36                          
Pavarde1590    Vardas1590     5.76                          
Pavarde1594    Vardas1594     7.16                          
Pavarde1597    Vardas1597     5.32                          
Pavarde1600    Vardas1600     6.04                          
Pavarde1601    Vardas1601     5.40                          
Pavarde1612    Vardas1612     5.44                          
Pavarde1616    Vardas1616     6.96                          
Pavarde1619    Vardas1619     6.56                          
Pavarde1623    Vardas1623     5.72                          
Pavarde1624    Vardas1624     6.64                          
Pavarde1626    Vardas1626     5.64                          
Pavarde1628    Vardas1628     6.92                          
Pavarde1630    Vardas1630     6.04                          
Pavarde1631    Vardas1631     5.48                          
Pavarde1634    Vardas1634     5.92                          
Pavarde1636    Vardas1636     7.24                          
Pavarde1637    Vardas1637     6.12                          
Pavarde1640    Vardas1640     5.24                          
Pavarde1643    Vardas1643     5.36                          
Pavarde1654    Vardas1654     6.68                          
Pavarde1657    Vardas1657     6.28                          
Pavarde1658    Vardas1658     6.12                          
Pavarde1662    Vardas1662     6.04                          
Pavarde1664    Vardas1664     5.76                          
Pavarde1665    Vardas1665     5.48                          
Pavarde1672    Vardas1672     7.68                          
Pavarde1673    Vardas1673     6.44                          
Pavarde1675    Vardas1675     5.36                          
Pavarde1677    Vardas1677     6.96                          
Pavarde1679    Vardas1679     5.40                          
Pavarde1680    Vardas1680     7.56                          
Pavarde1687    Vardas1687     5.68                          
Pavarde1688    Vardas1688     6.48                          
Pavarde1689    Vardas1689     5.52                          
Pavarde1690    Vardas1690     5.52                          
Pavarde1696    Vardas1696     5.60                          
Pavarde1698    Vardas1698     5.16                          
Pavarde1699    Vardas1699     6.68                          
Pavarde1701    Vardas1701     5.52                          
Pavarde1703    Vardas1703     7.20                          
Pavarde1704    Vardas1704     6.84                          
Pavarde1705    Vardas1705     5.68                          
Pavarde1710    Vardas1710     5.60                          
Pavarde1714    Vardas1714     7.00                          
Pavarde1716    Vardas1716     6.68                          
Pavarde1717    Vardas1717     6.56                          
Pavarde1724    Vardas1724     6.20                          
Pavarde1726    Vardas1726     5.36                          
Pavarde1728    Vardas1728     5.16                          
Pavarde1732    Vardas1732     6.48                          
Pavarde1733    Vardas1733     5.84                          
