Pavarde        Vardas         Galutinis balas (vid.)        
Pavarde113     Vardas113      2.72                          
Pavarde114     Vardas114      3.92                          
Pavarde115     Vardas115      4.40                          
Pavarde117     Vardas117      2.68                          
Pavarde118     Vardas118      1.64                          
Pavarde119     Vardas119      4.56                          
Pavarde121     Vardas121      4.88                          
Pavarde125     Vardas125      1.68                          
Pavarde126     Vardas126      3.76                          
Pavarde127     Vardas127      4.00                          
Pavarde128     Vardas128      4.88                          
Pavarde129     Vardas129      4.28                          
Pavarde130     Vardas130      1.76                          
Pavarde131     Vardas131      3.88                          
Pavarde132     Vardas132      2.48                          
Pavarde133     Vardas133      4.24                          
Pavarde135     Vardas135      2.92                          
Pavarde136     Vardas136      3.52                          
Pavarde137     Vardas137      3.72                          
Pavarde139     Vardas139      4.64                          
Pavarde141     Vardas141      3.32                          
Pavarde142     Vardas142      4.04                          
Pavarde143     Vardas143      1.64                          
Pavarde144     Vardas144      3.12                          
Pavarde145     Vardas145      1.68                          
Pavarde147     Vardas147      2.40                          
Pavarde149     Vardas149      4.88                          
Pavarde150     Vardas150      3.88                          
Pavarde151     Vardas151      3.88                          
Pavarde152     Vardas152      2.88                          
Pavarde158     Vardas158      2.68                          
Pavarde160     Vardas160      2.52                          
Pavarde161     Vardas161      4.88                          
Pavarde162     Vardas162      3.52                          
Pavarde164     Vardas164      4.76                          
Pavarde166     Vardas166      0.88                          
Pavarde167     Vardas167      2.20                          
Pavarde169     Vardas169      3.80                          
Pavarde170     Vardas170      4.32                          
Pavarde171     Vardas171      3.48                          
Pavarde175     Vardas175      3.84                          
Pavarde178     Vardas178      3.28                          
Pavarde181     Vardas181      4.92                          
Pavarde183     Vardas183      3.64                          
Pavarde184     Vardas184      1.88                          
Pavarde186     Vardas186      2.48                          
Pavarde190     Vardas190      4.60                          
Pavarde191     Vardas191      4.64                          
Pavarde192     Vardas192      1.92                          
Pavarde193     Vardas193      2.80                          
Pavarde197     Vardas197      1.64                          
Pavarde198     Vardas198      2.04                          
Pavarde200     Vardas200      4.32                          
Pavarde202     Vardas202      1.72                          
Pavarde203     Vardas203      4.24                          
Pavarde204     Vardas204      3.68                          
Pavarde206     Vardas206      4.20                          
Pavarde207     Vardas207      3.56                          
Pavarde208     Vardas208      4.12                          
Pavarde210     Vardas210      2.64                          
Pavarde211     Vardas211      3.80                          
Pavarde212     Vardas212      4.96                          
Pavarde213     Vardas213      4.68                          
Pavarde214     Vardas214      4.16                          
Pavarde215     Vardas215      2.00                          
Pavarde218     Vardas218      2.92                          
Pavarde219     Vardas219      2.24                          
Pavarde220     Vardas220      4.48                          
Pavarde222     Vardas222      3.84                          
Pavarde223     Vardas223      2.44                          
Pavarde224     Vardas224      3.72                          
Pavarde225     Vardas225      3.32                          
Pavarde227     Vardas227      2.16                          
Pavarde229     Vardas229      2.44                          
Pavarde231     Vardas231      3.12                          
Pavarde232     Vardas232      3.40                          
Pavarde233     Vardas233      3.20                          
Pavarde235     Vardas235      1.12                          
Pavarde236     Vardas236      4.40                          
Pavarde238     Vardas238      4.60                          
Pavarde239     Vardas239      3.64                          
Pavarde240     Vardas240      4.44                          
Pavarde241     Vardas241      4.20                          
Pavarde242     Vardas242      2.20                          
Pavarde243     Vardas243      2.88                          
Pavarde244     Vardas244      2.64                          
Pavarde246     Vardas246      3.16                          
Pavarde247     Vardas247      4.44                          
Pavarde249     Vardas249      1.36                          
Pavarde250     Vardas250      4.64                          
Pavarde251     Vardas251      3.40                          
Pavarde252     Vardas252      2.16                          
Pavarde255     Vardas255      2.80                          
Pavarde256     Vardas256      2.28                          
Pavarde257     Vardas257      3.44                          
Pavarde258     Vardas258      4.00                          
Pavarde262     Vardas262      2.24                          
Pavarde264     Vardas264      4.56                          
Pavarde266     Vardas266      4.32                          
Pavarde267     Vardas267      3.40                          
Pavarde268     Vardas268      1.96                          
Pavarde269     Vardas269      3.64                          
Pavarde270     Vardas270      3.32                          
Pavarde271     Vardas271      4.48                          
Pavarde274     Vardas274      1.36                          
Pavarde275     Vardas275      3.76                          
Pavarde277     Vardas277      4.76                          
Pavarde279     Vardas279      2.52                          
Pavarde280     Vardas280      3.68                          
Pavarde281     Vardas281      1.84                          
Pavarde282     Vardas282      1.84                          
Pavarde284     Vardas284      2.24                          
Pavarde287     Vardas287      3.32                          
Pavarde289     Vardas289      4.80                          
Pavarde298     Vardas298      1.48                          
Pavarde301     Vardas301      4.44                          
Pavarde303     Vardas303      4.56                          
Pavarde306     Vardas306      3.40                          
Pavarde307     Vardas307      3.24                          
Pavarde308     Vardas308      4.20                          
Pavarde311     Vardas311      2.24                          
Pavarde313     Vardas313      4.12                          
Pavarde316     Vardas316      1.80                          
Pavarde318     Vardas318      4.08                          
Pavarde320     Vardas320      4.72                          
Pavarde321     Vardas321      4.60                          
Pavarde324     Vardas324      1.52                          
Pavarde328     Vardas328      1.52                          
Pavarde329     Vardas329      4.36                          
Pavarde330     Vardas330      1.76                          
Pavarde333     Vardas333      3.36                          
Pavarde335     Vardas335      1.60                          
Pavarde336     Vardas336      2.72                          
Pavarde338     Vardas338      3.44                          
Pavarde339     Vardas339      4.96                          
Pavarde340     Vardas340      3.56                          
Pavarde341     Vardas341      1.52                          
Pavarde344     Vardas344      1.28                          
Pavarde345     Vardas345      3.96                          
Pavarde346     Vardas346      2.68                          
Pavarde349     Vardas349      4.56                          
Pavarde352     Vardas352      2.96                          
Pavarde353     Vardas353      3.32                          
Pavarde356     Vardas356      4.88                          
Pavarde358     Vardas358      2.16                          
Pavarde359     Vardas359      2.20                          
Pavarde360     Vardas360      3.36                          
Pavarde361     Vardas361      4.28                          
Pavarde363     Vardas363      4.88                          
Pavarde365     Vardas365      2.60                          
Pavarde366     Vardas366      4.80                          
Pavarde369     Vardas369      3.72                          
Pavarde370     Vardas370      3.32                          
Pavarde373     Vardas373      2.36                          
Pavarde374     Vardas374      3.40                          
Pavarde377     Vardas377      3.96                          
Pavarde380     Vardas380      4.48                          
Pavarde381     Vardas381      3.76                          
Pavarde382     Vardas382      2.44                          
Pavarde384     Vardas384      4.52                          
Pavarde386     Vardas386      2.00                          
Pavarde387     Vardas387      2.36                          
Pavarde388     Vardas388      2.48                          
Pavarde389     Vardas389      4.24                          
Pavarde391     Vardas391      2.96                          
Pavarde393     Vardas393      2.04                          
Pavarde394     Vardas394      3.96                          
Pavarde395     Vardas395      4.76                          
Pavarde396     Vardas396      3.48                          
Pavarde397     Vardas397      3.72                          
Pavarde400     Vardas400      4.96                          
Pavarde404     Vardas404      1.20                          
Pavarde405     Vardas405      4.00                          
Pavarde406     Vardas406      3.16                          
Pavarde407     Vardas407      1.48                          
Pavarde408     Vardas408      3.28                          
Pavarde409     Vardas409      1.68                          
Pavarde411     Vardas411      1.76                          
Pavarde413     Vardas413      4.60                          
Pavarde414     Vardas414      3.12                          
Pavarde415     Vardas415      1.04                          
Pavarde417     Vardas417      4.52                          
Pavarde419     Vardas419      2.28                          
Pavarde422     Vardas422      3.16                          
Pavarde423     Vardas423      2.04                          
Pavarde424     Vardas424      3.28                          
Pavarde425     Vardas425      2.68                          
Pavarde426     Vardas426      2.12                          
Pavarde427     Vardas427      4.08                          
Pavarde430     Vardas430      4.88                          
Pavarde431     Vardas431      4.32                          
Pavarde435     Vardas435      4.12                          
Pavarde436     Vardas436      2.88                          
Pavarde437     Vardas437      2.44                          
Pavarde438     Vardas438      2.80                          
Pavarde439     Vardas439      4.28                          
Pavarde441     Vardas441      3.36                          
Pavarde444     Vardas444      2.32                          
Pavarde445     Vardas445      1.28                          
Pavarde446     Vardas446      1.04                          
Pavarde448     Vardas448      4.04                          
Pavarde450     Vardas450      1.96                          
Pavarde452     Vardas452      4.20                          
Pavarde454     Vardas454      3.48                          
Pavarde455     Vardas455      4.20                          
Pavarde456     Vardas456      3.64                          
Pavarde458     Vardas458      4.56                          
Pavarde460     Vardas460      4.60                          
Pavarde461     Vardas461      1.20                          
Pavarde462     Vardas462      3.56                          
Pavarde465     Vardas465      4.96                          
Pavarde469     Vardas469      3.64                          
Pavarde470     Vardas470      0.88                          
Pavarde471     Vardas471      2.28                          
Pavarde472     Vardas472      4.16                          
Pavarde474     Vardas474      3.72                          
Pavarde477     Vardas477      1.76                          
Pavarde478     Vardas478      2.12                          
Pavarde481     Vardas481      3.88                          
Pavarde483     Vardas483      3.72                          
Pavarde484     Vardas484      4.16                          
Pavarde486     Vardas486      4.84                          
Pavarde487     Vardas487      4.48                          
Pavarde490     Vardas490      3.20                          
Pavarde493     Vardas493      2.96                          
Pavarde494     Vardas494      3.16                          
Pavarde496     Vardas496      2.80                          
Pavarde497     Vardas497      4.36                          
Pavarde498     Vardas498      2.48                          
Pavarde501     Vardas501      3.60                          
Pavarde502     Vardas502      4.00                          
Pavarde504     Vardas504      3.88                          
Pavarde505     Vardas505      3.32                          
Pavarde506     Vardas506      4.28                          
Pavarde507     Vardas507      4.52                          
Pavarde510     Vardas510      2.16                          
Pavarde512     Vardas512      2.76                          
Pavarde514     Vardas514      4.16                          
Pavarde515     Vardas515      2.84                          
Pavarde516     Vardas516      3.56                          
Pavarde517     Vardas517      4.36                          
Pavarde519     Vardas519      2.72                          
Pavarde521     Vardas521      2.44                          
Pavarde524     Vardas524      3.08                          
Pavarde525     Vardas525      3.12                          
Pavarde526     Vardas526      2.56                          
Pavarde528     Vardas528      2.36                          
Pavarde529     Vardas529      3.32                          
Pavarde530     Vardas530      4.28                          
Pavarde531     Vardas531      2.36                          
Pavarde532     Vardas532      1.68                          
Pavarde533     Vardas533      4.60                          
Pavarde534     Vardas534      3.36                          
Pavarde536     Vardas536      1.12                          
Pavarde538     Vardas538      3.88                          
Pavarde539     Vardas539      2.00                          
Pavarde541     Vardas541      3.12                          
Pavarde542     Vardas542      2.00                          
Pavarde543     Vardas543      4.80                          
Pavarde544     Vardas544      2.40                          
Pavarde548     Vardas548      4.28                          
Pavarde551     Vardas551      1.52                          
Pavarde553     Vardas553      3.76                          
Pavarde554     Vardas554      4.60                          
Pavarde555     Vardas555      2.40                          
Pavarde557     Vardas557      2.68                          
Pavarde559     Vardas559      2.40                          
Pavarde560     Vardas560      4.16                          
Pavarde562     Vardas562      3.96                          
Pavarde565     Vardas565      1.72                          
Pavarde568     Vardas568      3.68                          
Pavarde571     Vardas571      2.88                          
Pavarde572     Vardas572      3.68                          
Pavarde574     Vardas574      3.96                          
Pavarde575     Vardas575      4.24                          
Pavarde576     Vardas576      4.68                          
Pavarde577     Vardas577      2.00                          
Pavarde578     Vardas578      2.36                          
Pavarde579     Vardas579      4.20                          
Pavarde580     Vardas580      1.76                          
Pavarde584     Vardas584      4.12                          
Pavarde586     Vardas586      3.00                          
Pavarde587     Vardas587      2.72                          
Pavarde589     Vardas589      3.92                          
Pavarde593     Vardas593      2.72                          
Pavarde596     Vardas596      4.96                          
Pavarde597     Vardas597      4.72                          
Pavarde601     Vardas601      4.88                          
Pavarde602     Vardas602      4.76                          
Pavarde603     Vardas603      2.04                          
Pavarde605     Vardas605      4.48                          
Pavarde607     Vardas607      4.36                          
Pavarde608     Vardas608      3.72                          
Pavarde609     Vardas609      3.80                          
Pavarde610     Vardas610      4.04                          
Pavarde612     Vardas612      2.88                          
Pavarde613     Vardas613      2.76                          
Pavarde614     Vardas614      4.92                          
Pavarde617     Vardas617      4.36                          
Pavarde618     Vardas618      1.76                          
Pavarde619     Vardas619      4.28                          
Pavarde620     Vardas620      2.20                          
Pavarde621     Vardas621      1.28                          
Pavarde622     Vardas622      2.40                          
Pavarde623     Vardas623      4.76                          
Pavarde624     Vardas624      4.48                          
Pavarde625     Vardas625      3.60                          
Pavarde626     Vardas626      1.20                          
Pavarde627     Vardas627      4.44                          
Pavarde629     Vardas629      2.40                          
Pavarde630     Vardas630      2.64                          
Pavarde631     Vardas631      4.28                          
Pavarde632     Vardas632      4.24                          
Pavarde634     Vardas634      2.72                          
Pavarde635     Vardas635      4.08                          
Pavarde636     Vardas636      2.92                          
Pavarde637     Vardas637      1.44                          
Pavarde638     Vardas638      2.16                          
Pavarde639     Vardas639      3.32                          
Pavarde641     Vardas641      1.68                          
Pavarde642     Vardas642      3.92                          
Pavarde644     Vardas644      3.60                          
Pavarde645     Vardas645      3.88                          
Pavarde646     Vardas646      1.84                          
Pavarde650     Vardas650      4.96                          
Pavarde651     Vardas651      2.44                          
Pavarde652     Vardas652      3.40                          
Pavarde653     Vardas653      2.48                          
Pavarde654     Vardas654      3.28                          
Pavarde655     Vardas655      3.72                          
Pavarde657     Vardas657      3.40                          
Pavarde658     Vardas658      4.20                          
Pavarde660     Vardas660      3.32                          
Pavarde662     Vardas662      1.92                          
Pavarde663     Vardas663      2.80                          
Pavarde664     Vardas664      2.80                          
Pavarde666     Vardas666      4.68                          
Pavarde668     Vardas668      1.52                          
Pavarde670     Vardas670      3.00                          
Pavarde672     Vardas672      1.44                          
Pavarde673     Vardas673      3.16                          
Pavarde674     Vardas674      2.48                          
Pavarde675     Vardas675      3.60                          
Pavarde676     Vardas676      2.92                          
Pavarde678     Vardas678      3.92                          
Pavarde679     Vardas679      3.84                          
Pavarde682     Vardas682      1.68                          
Pavarde684     Vardas684      1.28                          
Pavarde686     Vardas686      2.16                          
Pavarde687     Vardas687      4.16                          
Pavarde689     Vardas689      4.52                          
Pavarde690     Vardas690      2.32                          
Pavarde691     Vardas691      4.08                          
Pavarde692     Vardas692      2.72                          
Pavarde696     Vardas696      3.08                          
Pavarde697     Vardas697      3.96                          
Pavarde698     Vardas698      2.36                          
Pavarde700     Vardas700      3.16                          
Pavarde701     Vardas701      2.72                          
Pavarde702     Vardas702      2.76                          
Pavarde703     Vardas703      2.24                          
Pavarde711     Vardas711      3.84                          
Pavarde712     Vardas712      2.80                          
Pavarde715     Vardas715      4.40                          
Pavarde716     Vardas716      2.04                          
Pavarde717     Vardas717      3.00                          
Pavarde718     Vardas718      3.88                          
Pavarde720     Vardas720      2.16                          
Pavarde722     Vardas722      4.08                          
Pavarde724     Vardas724      2.52                          
Pavarde725     Vardas725      2.28                          
Pavarde728     Vardas728      4.72                          
Pavarde729     Vardas729      3.64                          
Pavarde732     Vardas732      4.24                          
Pavarde733     Vardas733      3.84                          
Pavarde734     Vardas734      2.96                          
Pavarde738     Vardas738      4.80                          
Pavarde744     Vardas744      2.52                          
Pavarde746     Vardas746      4.08                          
Pavarde748     Vardas748      4.80                          
Pavarde749     Vardas749      3.00                          
Pavarde750     Vardas750      4.60                          
Pavarde752     Vardas752      4.96                          
Pavarde753     Vardas753      1.92                          
Pavarde754     Vardas754      2.28                          
Pavarde757     Vardas757      3.52                          
Pavarde759     Vardas759      4.48                          
Pavarde761     Vardas761      2.08                          
Pavarde762     Vardas762      4.92                          
Pavarde763     Vardas763      3.08                          
Pavarde764     Vardas764      3.48                          
Pavarde770     Vardas770      2.48                          
Pavarde774     Vardas774      2.68                          
Pavarde775     Vardas775      4.24                          
Pavarde776     Vardas776      1.68                          
Pavarde777     Vardas777      3.24                          
Pavarde778     Vardas778      4.84                          
Pavarde779     Vardas779      2.44                          
Pavarde781     Vardas781      4.48                          
Pavarde782     Vardas782      2.40                          
Pavarde783     Vardas783      3.28                          
Pavarde784     Vardas784      4.80                          
Pavarde785     Vardas785      4.00                          
Pavarde786     Vardas786      1.60                          
Pavarde789     Vardas789      4.92                          
Pavarde791     Vardas791      3.20                          
Pavarde792     Vardas792      4.48                          
Pavarde794     Vardas794      2.68                          
Pavarde795     Vardas795      1.52                          
Pavarde796     Vardas796      2.32                          
Pavarde797     Vardas797      2.24                          
Pavarde798     Vardas798      4.28                          
Pavarde799     Vardas799      2.60                          
Pavarde802     Vardas802      3.80                          
Pavarde804     Vardas804      1.92                          
Pavarde806     Vardas806      1.12                          
Pavarde807     Vardas807      2.28                          
Pavarde811     Vardas811      4.52                          
Pavarde812     Vardas812      4.88                          
Pavarde813     Vardas813      2.56                          
Pavarde814     Vardas814      1.88                          
Pavarde815     Vardas815      1.04                          
Pavarde816     Vardas816      2.72                          
Pavarde817     Vardas817      1.84                          
Pavarde826     Vardas826      4.16                          
Pavarde828     Vardas828      4.92                          
Pavarde829     Vardas829      2.56                          
Pavarde830     Vardas830      2.56                          
Pavarde834     Vardas834      2.40                          
Pavarde835     Vardas835      2.56                          
Pavarde836     Vardas836      3.96                          
Pavarde838     Vardas838      2.68                          
Pavarde839     Vardas839      2.56                          
Pavarde840     Vardas840      3.76                          
Pavarde842     Vardas842      3.92                          
Pavarde843     Vardas843      4.92                          
Pavarde845     Vardas845      2.92                          
Pavarde847     Vardas847      2.24                          
Pavarde848     Vardas848      3.32                          
Pavarde851     Vardas851      3.52                          
Pavarde853     Vardas853      2.40                          
Pavarde854     Vardas854      4.80                          
Pavarde855     Vardas855      2.48                          
Pavarde857     Vardas857      2.56                          
Pavarde858     Vardas858      0.96                          
Pavarde859     Vardas859      3.72                          
Pavarde860     Vardas860      3.64                          
Pavarde862     Vardas862      3.48                          
Pavarde863     Vardas863      2.88                          
Pavarde865     Vardas865      3.28                          
Pavarde866     Vardas866      4.28                          
Pavarde867     Vardas867      2.48                          
Pavarde871     Vardas871      3.44                          
Pavarde873     Vardas873      4.84                          
Pavarde874     Vardas874      4.56                          
Pavarde877     Vardas877      1.28                          
Pavarde878     Vardas878      1.60                          
Pavarde879     Vardas879      3.88                          
Pavarde880     Vardas880      2.12                          
Pavarde881     Vardas881      3.68                          
Pavarde882     Vardas882      4.60                          
Pavarde885     Vardas885      4.40                          
Pavarde886     Vardas886      2.64                          
Pavarde887     Vardas887      4.76                          
Pavarde888     Vardas888      4.80                          
Pavarde890     Vardas890      1.20                          
Pavarde891     Vardas891      4.40                          
Pavarde892     Vardas892      1.92                          
Pavarde894     Vardas894      3.92                          
Pavarde895     Vardas895      4.72                          
Pavarde897     Vardas897      4.80                          
Pavarde899     Vardas899      4.12                          
Pavarde900     Vardas900      2.68                          
Pavarde905     Vardas905      4.60                          
Pavarde906     Vardas906      2.76                          
Pavarde907     Vardas907      3.36                          
Pavarde908     Vardas908      2.40                          
Pavarde910     Vardas910      0.80                          
Pavarde912     Vardas912      2.04                          
Pavarde913     Vardas913      3.16                          
Pavarde915     Vardas915      2.92                          
Pavarde918     Vardas918      2.16                          
Pavarde920     Vardas920      4.16                          
Pavarde922     Vardas922      2.52                          
Pavarde924     Vardas924      3.16                          
Pavarde925     Vardas925      1.36                          
Pavarde926     Vardas926      4.92                          
Pavarde928     Vardas928      4.56                          
Pavarde931     Vardas931      2.88                          
Pavarde932     Vardas932      3.04                          
Pavarde933     Vardas933      2.84                          
Pavarde935     Vardas935      2.16                          
Pavarde937     Vardas937      2.56                          
Pavarde938     Vardas938      3.36                          
Pavarde939     Vardas939      4.40                          
Pavarde940     Vardas940      2.28                          
Pavarde942     Vardas942      3.84                          
Pavarde943     Vardas943      3.04                          
Pavarde945     Vardas945      3.28                          
Pavarde947     Vardas947      4.44                          
Pavarde948     Vardas948      3.00                          
Pavarde949     Vardas949      3.48                          
Pavarde951     Vardas951      4.00                          
Pavarde953     Vardas953      4.28                          
Pavarde954     Vardas954      1.96                          
Pavarde955     Vardas955      4.00                          
Pavarde957     Vardas957      4.28                          
Pavarde960     Vardas960      1.92                          
Pavarde963     Vardas963      2.64                          
Pavarde965     Vardas965      2.00                          
Pavarde966     Vardas966      3.88                          
Pavarde970     Vardas970      3.72                          
Pavarde971     Vardas971      2.96                          
Pavarde972     Vardas972      4.76                          
Pavarde973     Vardas973      3.00                          
Pavarde974     Vardas974      4.36                          
Pavarde976     Vardas976      4.16                          
Pavarde977     Vardas977      4.76                          
Pavarde978     Vardas978      1.64                          
Pavarde979     Vardas979      4.20                          
Pavarde982     Vardas982      2.44                          
Pavarde983     Vardas983      1.20                          
Pavarde984     Vardas984      4.96                          
Pavarde985     Vardas985      2.96                          
Pavarde986     Vardas986      2.40                          
Pavarde988     Vardas988      1.76                          
Pavarde989     Vardas989      4.12                          
Pavarde990     Vardas990      4.20                          
Pavarde993     Vardas993      1.68                          
Pavarde994     Vardas994      3.28                          
Pavarde995     Vardas995      2.52                          
Pavarde996     Vardas996      4.40                          
Pavarde998     Vardas998      2.24                          
Pavarde999     Vardas999      3.24                          
Pavarde1000    Vardas1000     2.16                          
Pavarde1001    Vardas1001     4.76                          
Pavarde1004    Vardas1004     4.84                          
Pavarde1007    Vardas1007     3.88                          
Pavarde1008    Vardas1008     3.40                          
Pavarde1009    Vardas1009     2.80                          
Pavarde1011    Vardas1011     3.92                          
Pavarde1012    Vardas1012     4.48                          
Pavarde1013    Vardas1013     4.64                          
Pavarde1014    Vardas1014     4.88                          
Pavarde1016    Vardas1016     1.24                          
Pavarde1017    Vardas1017     2.28                          
Pavarde1019    Vardas1019     2.48                          
Pavarde1020    Vardas1020     4.56                          
Pavarde1021    Vardas1021     2.08                          
Pavarde1023    Vardas1023     2.76                          
Pavarde1024    Vardas1024     4.24                          
Pavarde1025    Vardas1025     4.44                          
Pavarde1027    Vardas1027     2.52                          
Pavarde1028    Vardas1028     2.32                          
Pavarde1033    Vardas1033     3.24                          
Pavarde1034    Vardas1034     4.16                          
Pavarde1035    Vardas1035     3.80                          
Pavarde1037    Vardas1037     3.88                          
Pavarde1039    Vardas1039     2.56                          
Pavarde1040    Vardas1040     2.80                          
Pavarde1043    Vardas1043     3.68                          
Pavarde1045    Vardas1045     3.40                          
Pavarde1046    Vardas1046     2.52                          
Pavarde1048    Vardas1048     4.24                          
Pavarde1050    Vardas1050     3.48                          
Pavarde1052    Vardas1052     2.80                          
Pavarde1053    Vardas1053     3.60                          
Pavarde1054    Vardas1054     4.88                          
Pavarde1057    Vardas1057     3.84                          
Pavarde1059    Vardas1059     2.68                          
Pavarde1060    Vardas1060     2.40                          
Pavarde1061    Vardas1061     4.76                          
Pavarde1063    Vardas1063     2.12                          
Pavarde1067    Vardas1067     4.56                          
Pavarde1070    Vardas1070     2.76                          
Pavarde1071    Vardas1071     3.60                          
Pavarde1072    Vardas1072     4.04                          
Pavarde1074    Vardas1074     3.24                          
Pavarde1075    Vardas1075     4.52                          
Pavarde1077    Vardas1077     1.32                          
Pavarde1079    Vardas1079     1.84                          
Pavarde1080    Vardas1080     3.84                          
Pavarde1081    Vardas1081     1.44                          
Pavarde1082    Vardas1082     2.88                          
Pavarde1084    Vardas1084     2.88                          
Pavarde1086    Vardas1086     2.68                          
Pavarde1087    Vardas1087     1.84                          
Pavarde1088    Vardas1088     2.16                          
Pavarde1089    Vardas1089     3.20                          
Pavarde1090    Vardas1090     4.72                          
Pavarde1091    Vardas1091     1.92                          
Pavarde1093    Vardas1093     4.64                          
Pavarde1095    Vardas1095     4.28                          
Pavarde1096    Vardas1096     4.36                          
Pavarde1097    Vardas1097     2.12                          
Pavarde1098    Vardas1098     2.24                          
Pavarde1099    Vardas1099     4.24                          
Pavarde1101    Vardas1101     2.48                          
Pavarde1102    Vardas1102     3.72                          
Pavarde1103    Vardas1103     3.28                          
Pavarde1104    Vardas1104     2.12                          
Pavarde1106    Vardas1106     2.32                          
Pavarde1107    Vardas1107     1.44                          
Pavarde1108    Vardas1108     3.80                          
Pavarde1109    Vardas1109     3.12                          
Pavarde1111    Vardas1111     3.04                          
Pavarde1112    Vardas1112     3.76                          
Pavarde1113    Vardas1113     4.92                          
Pavarde1116    Vardas1116     3.60                          
Pavarde1117    Vardas1117     3.08                          
Pavarde1121    Vardas1121     3.44                          
Pavarde1122    Vardas1122     4.12                          
Pavarde1125    Vardas1125     4.28                          
Pavarde1126    Vardas1126     4.32                          
Pavarde1130    Vardas1130     4.52                          
Pavarde1132    Vardas1132     2.24                          
Pavarde1133    Vardas1133     3.32                          
Pavarde1134    Vardas1134     2.56                          
Pavarde1135    Vardas1135     3.48                          
Pavarde1137    Vardas1137     3.48                          
Pavarde1139    Vardas1139     3.24                          
Pavarde1140    Vardas1140     3.52                          
Pavarde1142    Vardas1142     3.16                          
Pavarde1143    Vardas1143     3.28                          
Pavarde1153    Vardas1153     4.68                          
Pavarde1154    Vardas1154     4.08                          
Pavarde1156    Vardas1156     2.76                          
Pavarde1157    Vardas1157     2.52                          
Pavarde1158    Vardas1158     4.28                          
Pavarde1159    Vardas1159     2.44                          
Pavarde1160    Vardas1160     1.52                          
Pavarde1161    Vardas1161     2.84                          
Pavarde1162    Vardas1162     2.76                          
Pavarde1166    Vardas1166     2.40                          
Pavarde1167    Vardas1167     2.36                          
Pavarde1168    Vardas1168     2.72                          
Pavarde1169    Vardas1169     4.40                          
Pavarde1173    Vardas1173     1.92                          
Pavarde1176    Vardas1176     4.48                          
Pavarde1177    Vardas1177     1.96                          
Pavarde1178    Vardas1178     4.16                          
Pavarde1179    Vardas1179     2.92                          
Pavarde1183    Vardas1183     3.64                          
Pavarde1184    Vardas1184     3.88                          
Pavarde1185    Vardas1185     4.00                          
Pavarde1186    Vardas1186     2.88                          
Pavarde1188    Vardas1188     3.20                          
Pavarde1190    Vardas1190     4.44                          
Pavarde1192    Vardas1192     2.68                          
Pavarde1193    Vardas1193     3.28                          
Pavarde1197    Vardas1197     4.16                          
Pavarde1198    Vardas1198     3.20                          
Pavarde1199    Vardas1199     4.32                          
Pavarde1200    Vardas1200     3.72                          
Pavarde1201    Vardas1201     4.32                          
Pavarde1202    Vardas1202     1.20                          
Pavarde1203    Vardas1203     3.80                          
Pavarde1206    Vardas1206     2.92                          
Pavarde1207    Vardas1207     4.36                          
Pavarde1211    Vardas1211     2.64                          
Pavarde1212    Vardas1212     3.60                          
Pavarde1213    Vardas1213     3.48                          
Pavarde1217    Vardas1217     3.20                          
