Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas96            Pavarde96                3     5     0     2     7     7
Vardas97            Pavarde97               10     2     8     5     8     2
Vardas98            Pavarde98                5     5     4     9     1     9
Vardas99            Pavarde99                9     6     6     1     9    10
Vardas100           Pavarde100               6     7     6     6     8    10
Vardas101           Pavarde101               4     1     3     7     1    10
Vardas102           Pavarde102               7     6     0     8     3     4
Vardas103           Pavarde103               2     4     5     7     9     7
Vardas104           Pavarde104               8    10     9     3     3     5
Vardas105           Pavarde105               7     7     4     5     2     4
Vardas106           Pavarde106               3     4     0     8     3     4
Vardas107           Pavarde107               7     8     2     4     4     9
Vardas108           Pavarde108               7     9     5     3     1     1
Vardas109           Pavarde109               7     6     9     2     7    10
Vardas110           Pavarde110               5     9     4     5     7     8
Vardas111           Pavarde111               6     1     0     1     0     8
Vardas112           Pavarde112               3     3     3     5     2     9
Vardas113           Pavarde113               2     4     0     0     0     7
Vardas114           Pavarde114               3     5     7     7     2     9
Vardas115           Pavarde115               2     4    10     6     5     2
Vardas116           Pavarde116               0     9     9     2     1     2
Vardas117           Pavarde117               0     5     1     8     2     4
Vardas118           Pavarde118               4     3     9     1     3    10
Vardas119           Pavarde119               8     1     6     1     0     3
Vardas120           Pavarde120               8    10     0     0     8     0
Vardas121           Pavarde121               2     4     6     2     9    10
Vardas122           Pavarde122               2     8     7    10     6     5
Vardas123           Pavarde123               2     7     3     0     9     1
Vardas124           Pavarde124               4    10     3     7     5     9
Vardas125           Pavarde125               7     2     0     6     0     1
Vardas126           Pavarde126               4     8     1     2     8     1
Vardas127           Pavarde127               9     9     2     7     5     8
Vardas128           Pavarde128               0     2     7     9     2     7
Vardas129           Pavarde129               7     7     9     9     9     8
Vardas130           Pavarde130               4    10    10     3     5     1
Vardas131           Pavarde131               1     5     6     3     9     4
Vardas132           Pavarde132               5     1    10    10     4     1
Vardas133           Pavarde133               3     7     1    10     6     9
Vardas134           Pavarde134               4     5     1     3     0     2
Vardas135           Pavarde135               1     6     6    10     1     4
Vardas136           Pavarde136               6     2     7    10     6     5
Vardas137           Pavarde137               2     7     9     2     6     0
Vardas138           Pavarde138               2    10     1     5     0     5
Vardas139           Pavarde139               6     6     8     8    10     6
Vardas140           Pavarde140               4     5     6     9     8     3
Vardas141           Pavarde141               8     1     2     4     3     5
Vardas142           Pavarde142               8     1     9     4     4    10
Vardas143           Pavarde143               0     6     9     2     7     3
Vardas144           Pavarde144               6     4     8     1     6     9
Vardas145           Pavarde145               9     9     1     2     1     6
Vardas146           Pavarde146               0     6     1     5     5     2
Vardas147           Pavarde147               6     5     0     3     9     7
Vardas148           Pavarde148               9     4     0     0     4     6
Vardas149           Pavarde149               1     8    10     8     0    10
Vardas150           Pavarde150               2    10     8     8     0     0
Vardas151           Pavarde151               1     7     0    10    10     9
Vardas152           Pavarde152               4     0     7     6     5     3
Vardas153           Pavarde153              10     1     4    10     9     0
Vardas154           Pavarde154               5     2     5     1     8    10
Vardas155           Pavarde155               7     9     5     4     0     2
Vardas156           Pavarde156               2     1     0     7     4    10
Vardas157           Pavarde157               8     5     5     4     2     3
Vardas158           Pavarde158               7     3     5     3     7     5
Vardas159           Pavarde159               5     6     2     7     1     3
Vardas160           Pavarde160               8    10     7     6     7     3
Vardas161           Pavarde161               5     4     3     1     5    10
Vardas162           Pavarde162               3     9     7     1     3     7
Vardas163           Pavarde163               4     7     5     5     6     5
Vardas164           Pavarde164               5     7     5     8     7    10
Vardas165           Pavarde165               4     3     3     1     7     1
Vardas166           Pavarde166               1    10     5     4     7     3
Vardas167           Pavarde167               7     2     2     8     1     7
Vardas168           Pavarde168               1     2     1     1    10     1
Vardas169           Pavarde169               4     6     9     0     0     0
Vardas170           Pavarde170               8     7     7     5     7     3
Vardas171           Pavarde171               7    10     9     4     2     0
Vardas172           Pavarde172              10     2     7     6    10     1
Vardas173           Pavarde173               5     1     3     5    10     8
Vardas174           Pavarde174               9     2     4     1     8     2
Vardas175           Pavarde175               7     9     3     8     4     1
Vardas176           Pavarde176              10     9     5     4     1     8
Vardas177           Pavarde177               3     8     1     9    10     2
Vardas178           Pavarde178               8     1     7    10    10     7
Vardas179           Pavarde179               7     2    10    10    10     7
Vardas180           Pavarde180               7     9     9     1     9     9
Vardas181           Pavarde181               2     1     3     6     4     3
Vardas182           Pavarde182               3     1     1     9     4     8
Vardas183           Pavarde183               6     4     1     0     7     5
Vardas184           Pavarde184               8     1     2     6     3     3
Vardas185           Pavarde185               7     3     0     2     5     9
Vardas186           Pavarde186              10     7     9    10     4     9
Vardas187           Pavarde187               5     6     5     6     2     3
Vardas188           Pavarde188               7     1     3    10     0     9
Vardas189           Pavarde189               0     7     7     0     5     8
Vardas190           Pavarde190               8     3     1     6     4     1
Vardas191           Pavarde191               0     2     6     8     2     2
Vardas192           Pavarde192               0     3     1     4     9     1
Vardas193           Pavarde193               5     7     7     3     6     7
Vardas194           Pavarde194               4    10     9     3     1     8
Vardas195           Pavarde195               6    10     2     1     3     2
Vardas196           Pavarde196               8     8     7     7     2     8
Vardas197           Pavarde197               0     9     6     0     5     2
Vardas198           Pavarde198               9     7     4     4    10     2
Vardas199           Pavarde199               0     5     0     2     7     8
Vardas200           Pavarde200               7     4     9     7     8     7
Vardas201           Pavarde201               8     4     2     9    10     0
Vardas202           Pavarde202               6     4     2     8     5     0
Vardas203           Pavarde203               4     5     7     3     1     7
Vardas204           Pavarde204               0     3     2     8     6     8
Vardas205           Pavarde205              10     2     6     2     2     8
Vardas206           Pavarde206               0     8     6     1     6     6
Vardas207           Pavarde207               2     0     7     1     1     4
Vardas208           Pavarde208               0     1     0     1     3     9
Vardas209           Pavarde209               6     1     3     6     3     1
Vardas210           Pavarde210               6     8     4     6    10     2
Vardas211           Pavarde211               3     1     1     3     8     0
Vardas212           Pavarde212               7     5     4    10    10     4
Vardas213           Pavarde213               7     9    10     1     3     2
Vardas214           Pavarde214               7     3     9     4     6     3
Vardas215           Pavarde215               0     1     4     1     8     4
Vardas216           Pavarde216               8     4     4     9     2     3
Vardas217           Pavarde217               3     6     9     8    10    10
Vardas218           Pavarde218               1     8     3     4     6    10
Vardas219           Pavarde219               8     0     5     5     0     9
Vardas220           Pavarde220               1     2     5     8     0     8
Vardas221           Pavarde221               8    10     7     2     3     4
Vardas222           Pavarde222               9     6     7    10     7     9
Vardas223           Pavarde223               9     6     2     8     2     4
Vardas224           Pavarde224               3     4     4    10     1     1
Vardas225           Pavarde225               3     3     7     8     7     3
Vardas226           Pavarde226               8     8     3     4     6     2
Vardas227           Pavarde227               3     2     3    10     9     8
Vardas228           Pavarde228               4     8     9     8     9     8
Vardas229           Pavarde229               0     5     8     2     0     7
Vardas230           Pavarde230               3     0     1     6     9     7
Vardas231           Pavarde231              10    10     0     0     5     4
Vardas232           Pavarde232               9    10     5     1     6     0
Vardas233           Pavarde233               5     7    10     1     2     4
Vardas234           Pavarde234               9     2     1     5     4     2
Vardas235           Pavarde235               9     3    10     1     0     9
Vardas236           Pavarde236               2    10     4     4     0     3
Vardas237           Pavarde237               3     4    10     9     2     4
Vardas238           Pavarde238               4     9     0     1     5     9
Vardas239           Pavarde239               8     7     0     4     2     6
Vardas240           Pavarde240               6     0     8     8     4     1
Vardas241           Pavarde241               4     5    10     7     6     4
Vardas242           Pavarde242               0     6     0     6     9     3
Vardas243           Pavarde243              10     0    10    10    10     8
Vardas244           Pavarde244               6     4    10     0     2     8
Vardas245           Pavarde245               1     0     4     2     2     5
Vardas246           Pavarde246               4     6    10     3     6     9
Vardas247           Pavarde247              10     2     5     7     9    10
Vardas248           Pavarde248               7     9     2     5     4     0
Vardas249           Pavarde249               0     7     9     7     8     2
Vardas250           Pavarde250               9     5     6     3     6     8
Vardas251           Pavarde251               3     0     9     3     3     9
Vardas252           Pavarde252               9     1     2     8     6     2
Vardas253           Pavarde253               2     1     4     8     5     7
Vardas254           Pavarde254               7     8     0     0     9    10
Vardas255           Pavarde255               9    10     5     0     5     3
Vardas256           Pavarde256               2    10     6     2     3     9
Vardas257           Pavarde257               4     4     7     5     9     8
Vardas258           Pavarde258               6     2     5     4     6     5
Vardas259           Pavarde259               7     3     6     9     9     1
Vardas260           Pavarde260               9     1     4     4     3     5
Vardas261           Pavarde261              10     7     7     7     4     0
Vardas262           Pavarde262               3    10     1    10     9     7
Vardas263           Pavarde263               8     8     0     2     4     9
Vardas264           Pavarde264               9     1     4     5     5    10
Vardas265           Pavarde265               3     7     0     6     3     8
Vardas266           Pavarde266               3     0    10     9     7     1
Vardas267           Pavarde267               5     9    10     0     4     3
Vardas268           Pavarde268               0     7     6     8     2     0
Vardas269           Pavarde269               5     2     6     3     6     6
Vardas270           Pavarde270               3     3     6     4     3     1
Vardas271           Pavarde271               0     8     7    10     8     0
Vardas272           Pavarde272               4     1     4     9     9     7
Vardas273           Pavarde273               5     9     5    10     7     9
Vardas274           Pavarde274               2     2     4    10     1     0
Vardas275           Pavarde275               2     3     0     8     8     5
Vardas276           Pavarde276               6     8     4     9    10     4
Vardas277           Pavarde277               9     1     1     9     1    10
Vardas278           Pavarde278               4     6     5     8     5     6
Vardas279           Pavarde279               6     4    10     5     3     5
Vardas280           Pavarde280               5     8     5     4     1     7
Vardas281           Pavarde281               2     1     5     5     1     2
Vardas282           Pavarde282               9     5     3     6     7     2
Vardas283           Pavarde283               3    10     9    10     8     9
Vardas284           Pavarde284               2    10    10    10     4     4
Vardas285           Pavarde285               8     6     7     3     4     6
Vardas286           Pavarde286               2     5     0    10     5     3
Vardas287           Pavarde287               4     0     9     3     7     8
Vardas288           Pavarde288               0     2    10     9     7     5
Vardas289           Pavarde289               5     8     5     0     7     3
Vardas290           Pavarde290               9     6     1     9     3     2
Vardas291           Pavarde291               2     4     5     9     9     5
Vardas292           Pavarde292               1    10    10     5     3     8
Vardas293           Pavarde293               8     7     0     5     2     1
Vardas294           Pavarde294               6     5     3    10     3     2
Vardas295           Pavarde295               2     5     1     5     4    10
Vardas296           Pavarde296               2     3     4     0     4    10
Vardas297           Pavarde297               2     9     4     7     2     5
Vardas298           Pavarde298               4     0    10     1    10     3
Vardas299           Pavarde299               2     3     8     4     8     2
Vardas300           Pavarde300               0     2    10     8     3     8
Vardas301           Pavarde301               6     7     6    10     5     4
Vardas302           Pavarde302               8     3     6    10     6     9
Vardas303           Pavarde303               2     7     0     2     3     4
Vardas304           Pavarde304               4     1     1    10     6     6
Vardas305           Pavarde305               6     6     3     6     5     4
Vardas306           Pavarde306              10     8     3     9     1     0
Vardas307           Pavarde307               7     1     6     1     9     4
Vardas308           Pavarde308               4     6     3     1    10     0
Vardas309           Pavarde309               3     9     4     0     5     3
Vardas310           Pavarde310               9     3     4     3     5    10
Vardas311           Pavarde311               3     2     6     1    10     3
Vardas312           Pavarde312               7     8     0     4     5     9
Vardas313           Pavarde313               6     5     7     4     8     0
Vardas314           Pavarde314               1     6     3     2     2     6
Vardas315           Pavarde315               4     6     9    10     1     8
Vardas316           Pavarde316               5     6     3     0     4    10
Vardas317           Pavarde317               8    10     2    10     8     6
Vardas318           Pavarde318               3     8     9     4     9     4
Vardas319           Pavarde319               5     1     8     8     0     2
Vardas320           Pavarde320               8     8     8     9     0     7
Vardas321           Pavarde321               8     6     7     4     0     0
Vardas322           Pavarde322              10     9     6    10     9     8
Vardas323           Pavarde323               3     2     0     0     6     9
Vardas324           Pavarde324               6     0     7     9     7     3
Vardas325           Pavarde325               8     2     7    10     9     1
Vardas326           Pavarde326               1     9     2     7     5     4
Vardas327           Pavarde327               8     4     9     0    10    10
Vardas328           Pavarde328               0     9     0     9     3     9
Vardas329           Pavarde329              10     3    10     1     3     2
Vardas330           Pavarde330               6     2     9     1     6     1
Vardas331           Pavarde331               6     0     4     5     8     3
Vardas332           Pavarde332               0     2    10     7     4     0
Vardas333           Pavarde333               8     2     4     5     4     7
Vardas334           Pavarde334               0     6     0     0     2     2
Vardas335           Pavarde335               9     5    10     1     4     9
Vardas336           Pavarde336               0     7     8     9     4     0
Vardas337           Pavarde337               5     7     6     2     1     8
Vardas338           Pavarde338               0     0     9     2     3     3
Vardas339           Pavarde339               1     8     2     2     1     9
Vardas340           Pavarde340               3     0     5    10     4     0
Vardas341           Pavarde341              10     7     3     6     3     7
Vardas342           Pavarde342               9     4     9     3     6    10
Vardas343           Pavarde343               2     5     7     2     1     4
Vardas344           Pavarde344              10     3     7     5     6    10
Vardas345           Pavarde345               6     5    10     0    10     1
Vardas346           Pavarde346              10     4     0     0     4    10
Vardas347           Pavarde347               0     1     1     9     3     9
Vardas348           Pavarde348               2     3     8     2     4    10
Vardas349           Pavarde349               6     7     4     1     1     6
Vardas350           Pavarde350               0     9    10     3     7     0
Vardas351           Pavarde351               5    10    10     2     2     7
Vardas352           Pavarde352               4     8     2     9     7     4
Vardas353           Pavarde353               1     7     7    10     7     0
Vardas354           Pavarde354               6     3     6     0     5     9
Vardas355           Pavarde355               2     9     6     0     7     4
Vardas356           Pavarde356               2     2     2     2     0     0
Vardas357           Pavarde357               1     4     2     2    10    10
Vardas358           Pavarde358               6    10    10     3     8    10
Vardas359           Pavarde359              10    10     3     6     3     6
Vardas360           Pavarde360               2     9     0     3    10     5
Vardas361           Pavarde361               6     7     9     4     4     4
Vardas362           Pavarde362               2     5     8     4     3     0
Vardas363           Pavarde363               7     4     8     9     7    10
Vardas364           Pavarde364               3     7     8     6     9     7
Vardas365           Pavarde365               0     1     9     1     4     2
Vardas366           Pavarde366               0     3     2     5     7     8
Vardas367           Pavarde367               1     8     0     3     9     9
Vardas368           Pavarde368               5     6     4     7     1     9
Vardas369           Pavarde369              10     6     8     2     9     0
Vardas370           Pavarde370               4    10     3     0    10     3
Vardas371           Pavarde371               9     1     1     3     4     1
Vardas372           Pavarde372              10     0     4     2     1     9
Vardas373           Pavarde373               4     6     8     4    10     5
Vardas374           Pavarde374               5    10     7     5     9     9
Vardas375           Pavarde375               9     7     2     4     5     6
Vardas376           Pavarde376              10     1     2     8     9     5
Vardas377           Pavarde377               2     5     1     4     0     4
Vardas378           Pavarde378               5     0     6     0     7     6
Vardas379           Pavarde379               8     6     0     0    10     5
Vardas380           Pavarde380               6     6    10     9     3     0
Vardas381           Pavarde381               4     3     7     0     4     0
Vardas382           Pavarde382               0    10     6     4     1     5
Vardas383           Pavarde383               4     7     5     0     3     4
Vardas384           Pavarde384              10    10     5     9     5     1
Vardas385           Pavarde385               6    10     1     8     7     5
Vardas386           Pavarde386               4    10     7     1     3     9
Vardas387           Pavarde387               3     0     0     2     7     2
Vardas388           Pavarde388               6     3     7     2     0     5
Vardas389           Pavarde389               2     9     7     4     9     9
Vardas390           Pavarde390               9    10    10     4     7     1
Vardas391           Pavarde391               3     3     2    10     0     4
Vardas392           Pavarde392               6     9     8     3     6     4
Vardas393           Pavarde393               8     0     9     4    10     6
Vardas394           Pavarde394               3     9     5     9     5     6
Vardas395           Pavarde395               7     8     2     5     3     6
Vardas396           Pavarde396               8     1     7     8     3     2
Vardas397           Pavarde397               5     8     2    10     2     2
Vardas398           Pavarde398               5     1    10     7     0     9
Vardas399           Pavarde399               9     5     4     7     5     8
Vardas400           Pavarde400               1     4    10     5     5     4
Vardas401           Pavarde401               9     3     1     3     3     9
Vardas402           Pavarde402               0     4     0     4     8     2
Vardas403           Pavarde403               8     9     1     4     8     7
Vardas404           Pavarde404               5     1     9     1     3     1
Vardas405           Pavarde405               9    10     9     4     7     9
Vardas406           Pavarde406               6     5     0     0     5    10
Vardas407           Pavarde407               3     5     5     6     7     5
Vardas408           Pavarde408               3     6     8     9     2     9
Vardas409           Pavarde409               7     4     8     3     6     5
Vardas410           Pavarde410               2     8     2    10    10     7
Vardas411           Pavarde411               9     0     8     5     8     8
Vardas412           Pavarde412              10    10     2     3    10     5
Vardas413           Pavarde413               8     4     2     1     6     9
Vardas414           Pavarde414               7     1     4     8     0     7
Vardas415           Pavarde415               6     1     4     9     3     5
Vardas416           Pavarde416               6     5     0     4     7     1
Vardas417           Pavarde417               1     5     8     4     3     6
Vardas418           Pavarde418               0     1     4     0     5     5
Vardas419           Pavarde419              10     1    10     0     4     5
Vardas420           Pavarde420               7     3     8     8     9     7
Vardas421           Pavarde421              10     7     6     8     1     6
Vardas422           Pavarde422               5     1     2     7     0     8
Vardas423           Pavarde423               4     3     7     0     0     8
Vardas424           Pavarde424               0     9     0     3     8     3
Vardas425           Pavarde425               6     0     0     4    10     0
Vardas426           Pavarde426               7     5     1     8    10    10
Vardas427           Pavarde427               8     2     6     0     7     7
Vardas428           Pavarde428               7     3    10    10     3     3
Vardas429           Pavarde429               2     2     6    10    10     5
Vardas430           Pavarde430               0     4     7     5     7     9
Vardas431           Pavarde431               1     1     3     8     7     2
Vardas432           Pavarde432               0     9     4     4     5     5
Vardas433           Pavarde433               7     4     2     6     0     4
Vardas434           Pavarde434               5     3     4     4     7     6
Vardas435           Pavarde435               2     7     2    10     9     9
Vardas436           Pavarde436               7     0     4     5     8     4
Vardas437           Pavarde437              10     6     6     7     8     4
Vardas438           Pavarde438               4     1     9     8     4     7
Vardas439           Pavarde439               0     4     4    10     3    10
Vardas440           Pavarde440               7     4    10     1     0     6
Vardas441           Pavarde441               0     5    10     7    10     4
Vardas442           Pavarde442              10     8     0    10     9     3
Vardas443           Pavarde443               0     6     8     4     6    10
Vardas444           Pavarde444               6    10     4     2     3     9
Vardas445           Pavarde445               7     7     8     5    10     5
Vardas446           Pavarde446               6     9     4     9     4     0
Vardas447           Pavarde447               9     7     7    10     1     1
Vardas448           Pavarde448              10     0     7     7     1    10
Vardas449           Pavarde449               0     4     0     7     9     1
Vardas450           Pavarde450               9     7     2     3     1     1
Vardas451           Pavarde451               4     6     2     0     1     0
Vardas452           Pavarde452               7     8     7     4     8     1
Vardas453           Pavarde453               7     8    10     4     1     5
Vardas454           Pavarde454               8     1     2     8     8    10
Vardas455           Pavarde455               8     7     2     0     1     2
Vardas456           Pavarde456               8     6     3     4     8     9
Vardas457           Pavarde457               7     7     2     2     8     6
Vardas458           Pavarde458               3     3     4     2     7     6
Vardas459           Pavarde459               5     3     0     5     9     8
Vardas460           Pavarde460               9    10     0     8     7     4
Vardas461           Pavarde461               1     0     3    10     1     0
Vardas462           Pavarde462               3     8     4     2     6    10
Vardas463           Pavarde463               6     8    10     6     5     3
Vardas464           Pavarde464               9     5     7     3     7     4
Vardas465           Pavarde465               4     8     0     0     5     1
Vardas466           Pavarde466               0     4     6     9     6     3
Vardas467           Pavarde467               0     0     2    10     9     9
Vardas468           Pavarde468               9     0     9     4     6     0
Vardas469           Pavarde469              10    10    10     0     1     0
Vardas470           Pavarde470               9     4     3     7     9     9
Vardas471           Pavarde471               1     4     3     6     8    10
Vardas472           Pavarde472               8    10     8     0     3    10
Vardas473           Pavarde473               6     7     0     2     4     5
Vardas474           Pavarde474               5     6     3     6     5     7
Vardas475           Pavarde475               7     4     1     6     1     4
Vardas476           Pavarde476              10     0     7     7     0     3
Vardas477           Pavarde477               7     2     4     6     5    10
Vardas478           Pavarde478               9     1     3    10     0     3
Vardas479           Pavarde479               8    10     2     2     6     3
Vardas480           Pavarde480               5     8     1     1     0     6
Vardas481           Pavarde481               8     2     5     1     7     7
Vardas482           Pavarde482               9     1    10    10     5     7
Vardas483           Pavarde483               2     7     1     8     0     3
Vardas484           Pavarde484               8     0     1     1     8     8
Vardas485           Pavarde485               6     0     3     6     5     6
Vardas486           Pavarde486               0     5     1     5     9     5
Vardas487           Pavarde487              10     4    10     4     0     6
Vardas488           Pavarde488               2     9     3     8     2    10
Vardas489           Pavarde489               4     7     7     4     2     5
Vardas490           Pavarde490               4     4     5     4     7     2
Vardas491           Pavarde491               6     2     5     6     1     2
Vardas492           Pavarde492               7    10     0    10     9     5
Vardas493           Pavarde493               6     0     2     4    10     6
Vardas494           Pavarde494               0     3     4     8     1     8
Vardas495           Pavarde495               5     7     6     8     4     7
Vardas496           Pavarde496               4     1    10     6     1     1
Vardas497           Pavarde497               7     8     2     7     2     5
Vardas498           Pavarde498               1     9     2     1     4     0
Vardas499           Pavarde499               7     0     1     9     3     2
Vardas500           Pavarde500               6     1     8     8     7     7
Vardas501           Pavarde501               5     1     1     3     3     6
Vardas502           Pavarde502               3     4     0     7     8     1
Vardas503           Pavarde503               1     6     1     8     7     0
Vardas504           Pavarde504               1    10     9    10     5     7
Vardas505           Pavarde505               1     1    10    10     6     9
Vardas506           Pavarde506               6     1     0     1     2     1
Vardas507           Pavarde507               3     2     4     5     3     0
Vardas508           Pavarde508               2     6     0     1     3     4
Vardas509           Pavarde509              10    10     8     6     3     5
Vardas510           Pavarde510               2     1     3     6     3    10
Vardas511           Pavarde511               2     1     2     8     8     5
Vardas512           Pavarde512               0     3     1     9     4     7
Vardas513           Pavarde513              10     5     9     9    10     0
Vardas514           Pavarde514               4     2    10     9     6     2
Vardas515           Pavarde515               5     1     9     2     1     0
Vardas516           Pavarde516               4     6     1     4     5     4
Vardas517           Pavarde517               9     3     8     3     5     0
Vardas518           Pavarde518               5     9     3     6     8     8
Vardas519           Pavarde519               4     5     7     4     7     0
Vardas520           Pavarde520               6     4     5     5     3     2
Vardas521           Pavarde521               0    10     0     7    10     4
Vardas522           Pavarde522               6     6     1     4     2     9
Vardas523           Pavarde523               8     4     1     2    10     7
Vardas524           Pavarde524               1     9     5     9     7    10
Vardas525           Pavarde525               4     0     8     1     8     5
Vardas526           Pavarde526               8     9     6     4     4     4
Vardas527           Pavarde527               4     1     5     2     2     6
Vardas528           Pavarde528               3     4    10    10     4     9
Vardas529           Pavarde529               4     5     8     2    10     9
Vardas530           Pavarde530               0     3     2     9     9     8
Vardas531           Pavarde531               9     0     8     5     4     2
Vardas532           Pavarde532               1     6    10     9     1     8
Vardas533           Pavarde533               8     2     9     6     3     9
Vardas534           Pavarde534               4     8     3     0     6     4
Vardas535           Pavarde535               0     1     2     3     7     1
Vardas536           Pavarde536               5     7     3     4     4    10
Vardas537           Pavarde537               2    10     2     5     7    10
Vardas538           Pavarde538               9     0     9     3     2     4
Vardas539           Pavarde539               2     5     7    10     7     3
Vardas540           Pavarde540               0     2     5     0     7     5
Vardas541           Pavarde541               0     2    10    10     7     2
Vardas542           Pavarde542               9     3     0     8     8     7
Vardas543           Pavarde543               6     1     4     5     5     5
Vardas544           Pavarde544               7    10     3     4     4     2
Vardas545           Pavarde545               1     7     7     2     2     7
Vardas546           Pavarde546               3     5     0     3     6     7
Vardas547           Pavarde547              10     1     6     4     6     6
Vardas548           Pavarde548               6     4     5     4     8     7
Vardas549           Pavarde549               7     6     6     0    10     6
Vardas550           Pavarde550               5     7     9     9     7     2
Vardas551           Pavarde551               9     5     4     6     0     5
Vardas552           Pavarde552               7     1     7     1     7     2
Vardas553           Pavarde553              10     3     4     3     7     7
Vardas554           Pavarde554               4     1     6     7    10     4
Vardas555           Pavarde555              10    10    10     2     8     3
Vardas556           Pavarde556               2     6     4     5     3     7
