Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas253           Pavarde253               9     0     1     8     7     8
Vardas254           Pavarde254               7     9     2     9    10     9
Vardas255           Pavarde255               0     8     2     1     1    10
Vardas256           Pavarde256               9     4     5     1    10     4
Vardas257           Pavarde257               5     0     9     6     1     8
Vardas258           Pavarde258               6     6     4     2     9     5
Vardas259           Pavarde259               1     5     4     5     9     5
Vardas260           Pavarde260               9     2     9     8    10     3
Vardas261           Pavarde261               1     5     4     2     3     0
Vardas262           Pavarde262               1     0     3     2     0     8
Vardas263           Pavarde263               5     6     2     1     6     3
Vardas264           Pavarde264               4     8     5     3     0     3
Vardas265           Pavarde265               6     2     0     5     1     9
Vardas266           Pavarde266               1     1     1     8     4    10
Vardas267           Pavarde267               3     3     7     8     9     7
Vardas268           Pavarde268               8     1     4     0     4     2
Vardas269           Pavarde269               2     7     7     0     0     4
Vardas270           Pavarde270               8     6    10     8     9     7
Vardas271           Pavarde271               4     1     9     3     1     0
Vardas272           Pavarde272               0     6     9     1     7     9
Vardas273           Pavarde273               8     5     2     3     0     1
Vardas274           Pavarde274               3     9     1     3     5     4
Vardas275           Pavarde275               4    10     7     7     5     8
Vardas276           Pavarde276               8     8     7    10     6     3
Vardas277           Pavarde277               1     0     2     4    10     3
Vardas278           Pavarde278               3     1     2     9     8     3
Vardas279           Pavarde279               7     4     1     2     4     0
Vardas280           Pavarde280               7     5     6     1     8     2
Vardas281           Pavarde281               2     7     5     8     8    10
Vardas282           Pavarde282               1     9    10     8     2     3
Vardas283           Pavarde283               2     3     6    10     2     5
Vardas284           Pavarde284               5     0     0     8    10     6
Vardas285           Pavarde285               0     9    10     4     5     3
Vardas286           Pavarde286               2     8     0     9     5     2
Vardas287           Pavarde287              10     2     0    10     7     9
Vardas288           Pavarde288               7    10     0     7     5     1
Vardas289           Pavarde289               4     3     9     6     0     3
Vardas290           Pavarde290               1     2     9     0     0     1
Vardas291           Pavarde291               4     5    10     2     3     4
Vardas292           Pavarde292               0     2     9     1    10     1
Vardas293           Pavarde293               7     9    10     2     9     0
Vardas294           Pavarde294               0     3     2     8     9     0
Vardas295           Pavarde295               7     8     6     7     1     1
Vardas296           Pavarde296               7     0    10     1    10     3
Vardas297           Pavarde297               3     5     9     5     9     3
Vardas298           Pavarde298               5     6     4     0     5     0
Vardas299           Pavarde299               0     1     1     6     6     4
Vardas300           Pavarde300               9     8     2     8     4     3
Vardas301           Pavarde301               1     6     5     0     7     7
Vardas302           Pavarde302               0    10     0     9     1     3
Vardas303           Pavarde303               1    10     1     5     6     8
Vardas304           Pavarde304               8     5     6     4     9     7
Vardas305           Pavarde305               5     6     9     9     1     9
Vardas306           Pavarde306               8    10     8     2    10    10
Vardas307           Pavarde307               6     1     4     3     3     4
Vardas308           Pavarde308               5     4     6     3     7     8
Vardas309           Pavarde309               6     9     1     7     6     2
Vardas310           Pavarde310               0    10     3     3     0    10
Vardas311           Pavarde311               3     5     5     2     5     3
Vardas312           Pavarde312               0     8     9     6     6     3
Vardas313           Pavarde313               2     4     9     4     7     3
Vardas314           Pavarde314               3    10     0     3     8     1
Vardas315           Pavarde315               0     9     5     4     6     6
Vardas316           Pavarde316               4     6     6     4     7     9
Vardas317           Pavarde317               8     4     9     2    10    10
Vardas318           Pavarde318               7     2     1     5    10     5
Vardas319           Pavarde319              10    10     6     1     9     9
Vardas320           Pavarde320               1     8     8     5    10     2
Vardas321           Pavarde321              10     2     0     1     0     1
Vardas322           Pavarde322               2     8     5     4     5    10
Vardas323           Pavarde323               2    10     4     4     9     8
Vardas324           Pavarde324               9     0     0     8     9     0
Vardas325           Pavarde325               4     1     5     3     1     6
Vardas326           Pavarde326               4     9     3    10    10     5
Vardas327           Pavarde327               2     2     1     2     5     7
Vardas328           Pavarde328              10     9     6     1     5     3
Vardas329           Pavarde329               9     3     9     4     2     3
Vardas330           Pavarde330               8    10     7     5     0     1
Vardas331           Pavarde331               4     5     5     9     1     2
Vardas332           Pavarde332               2     5     6     5     0    10
Vardas333           Pavarde333               4     5    10     4     2     1
Vardas334           Pavarde334               9     2     5     1     0     6
Vardas335           Pavarde335               4    10     5     7     6     2
Vardas336           Pavarde336              10     1     5     3     0     5
Vardas337           Pavarde337               4     4     7     9     0     3
Vardas338           Pavarde338               1     4     0     0     9     9
Vardas339           Pavarde339               1     8     1     9     7    10
Vardas340           Pavarde340              10     8     1     1     4    10
Vardas341           Pavarde341               6     4     6     6     8     8
Vardas342           Pavarde342               7     7     0     7     2     9
Vardas343           Pavarde343               6     4     1     7     6     5
Vardas344           Pavarde344               2    10    10     6    10    10
Vardas345           Pavarde345               2     4     3     2     1     4
Vardas346           Pavarde346               9     5     1    10     8     6
Vardas347           Pavarde347               9    10     1    10     6    10
Vardas348           Pavarde348               8     1     5     8     7     3
Vardas349           Pavarde349               6     7     2     0     3     1
Vardas350           Pavarde350              10     2     4     0     7     3
Vardas351           Pavarde351               1     3     1     2     1     7
Vardas352           Pavarde352               0     0     4     0     0     2
Vardas353           Pavarde353               4     3     4     4     2     6
Vardas354           Pavarde354               7     6     5     3     4     0
Vardas355           Pavarde355               0     7    10     5     6    10
Vardas356           Pavarde356               8     7     2     1     4     3
Vardas357           Pavarde357               1     3    10     9     7    10
Vardas358           Pavarde358              10     2     3     4     5     4
Vardas359           Pavarde359               4     6     8     3     1    10
Vardas360           Pavarde360               9     5     4     4     4     8
Vardas361           Pavarde361               3     4     8     7     9     7
Vardas362           Pavarde362               9     9     7     2     1     1
Vardas363           Pavarde363               9     8     6     2     2     9
Vardas364           Pavarde364               4    10     1     9     8    10
Vardas365           Pavarde365               5     9     1     7     7     0
Vardas366           Pavarde366               9     1     6     4     8    10
Vardas367           Pavarde367               5     2     8     8     0     9
Vardas368           Pavarde368               1     1     2     8     3     3
Vardas369           Pavarde369               6    10     4     1     3     7
Vardas370           Pavarde370               3     2    10     5     3     1
Vardas371           Pavarde371               5     8     9     7     4     8
Vardas372           Pavarde372               9     6     7     4     2     8
Vardas373           Pavarde373               9     2     3    10     6     6
Vardas374           Pavarde374               9     5     5     0     4     9
Vardas375           Pavarde375               5     9     9     1     9     8
Vardas376           Pavarde376               7     3     4    10    10     6
Vardas377           Pavarde377              10     2     7     0     7     9
Vardas378           Pavarde378               5    10     8     6     2     1
Vardas379           Pavarde379               7     6     5     1     9     2
Vardas380           Pavarde380               1     4     0     3     2     6
Vardas381           Pavarde381               0     8     4    10     6     3
Vardas382           Pavarde382               6     3     9     1     5     5
Vardas383           Pavarde383               4    10     5     9     1     5
Vardas384           Pavarde384               2     1     9     0     8     7
Vardas385           Pavarde385               3     3     3     8     9     5
Vardas386           Pavarde386               9     4     1     2     7     9
Vardas387           Pavarde387               2     0     3     3     7    10
Vardas388           Pavarde388              10     8     4     2     3     1
Vardas389           Pavarde389              10     9    10     5     2     7
Vardas390           Pavarde390               2     5     0     3     4     6
Vardas391           Pavarde391               0     1     5     0     7     7
Vardas392           Pavarde392               5     9     8     5     3    10
Vardas393           Pavarde393               4    10     2     2     2     6
Vardas394           Pavarde394              10     3    10     1     3     8
Vardas395           Pavarde395               4     7     0     2     1     7
Vardas396           Pavarde396               3     0     6     4     4     4
Vardas397           Pavarde397               6     7     2     9    10     6
Vardas398           Pavarde398               1     0     1     2     8    10
Vardas399           Pavarde399               8     3     5     4     6     8
Vardas400           Pavarde400               1     8     2     6     7     5
Vardas401           Pavarde401               5    10     2     9     0     5
Vardas402           Pavarde402               1     0     8     6     7     0
Vardas403           Pavarde403               5     3     0     1     6     4
Vardas404           Pavarde404               8     4    10    10     9     1
Vardas405           Pavarde405               0     9     4     3     6     1
Vardas406           Pavarde406               6     1     5     5     0     5
Vardas407           Pavarde407               1     4     2     3     8     3
Vardas408           Pavarde408               1     3     5     2     4     0
Vardas409           Pavarde409               8     5     9     7     2     4
Vardas410           Pavarde410               0     3     1     8     5     5
Vardas411           Pavarde411               7     4     9     0     3     3
Vardas412           Pavarde412               0     8     8     2    10     6
Vardas413           Pavarde413               8     2     3     1     3     1
Vardas414           Pavarde414               6     8    10    10     8     6
Vardas415           Pavarde415              10     1    10     1     6     1
Vardas416           Pavarde416               6     0     9    10     9     9
Vardas417           Pavarde417              10     6     9     3    10     2
Vardas418           Pavarde418               9     6     8     9     5     6
Vardas419           Pavarde419               5     1     6     2    10     2
Vardas420           Pavarde420               1     7     9     6     2     8
Vardas421           Pavarde421               7     9     0     4    10     7
Vardas422           Pavarde422               9    10     9     0     8     2
Vardas423           Pavarde423              10     4     1    10     4     0
Vardas424           Pavarde424               3     4     8     9     9     5
Vardas425           Pavarde425               0     7     9     6     9     9
Vardas426           Pavarde426              10     4     4     5     9     5
Vardas427           Pavarde427               7     7    10     4     6     5
Vardas428           Pavarde428               5     3     4     9     3     5
Vardas429           Pavarde429               2     3     0     7     0     0
Vardas430           Pavarde430               5     9     7     4     3     0
Vardas431           Pavarde431               2     0     8     3     6     5
Vardas432           Pavarde432               4    10     2     5     5     2
Vardas433           Pavarde433               1     4     0    10    10    10
Vardas434           Pavarde434               4     0     2    10     1     5
Vardas435           Pavarde435               7     0     7     5     7     2
Vardas436           Pavarde436               5    10     2     1     7    10
Vardas437           Pavarde437               7     1     5     8     8     0
Vardas438           Pavarde438               5    10     3     1     0    10
Vardas439           Pavarde439               7     6     9     6     3     2
Vardas440           Pavarde440               8     2     9     1     5     8
Vardas441           Pavarde441               6    10     6     4     3     8
Vardas442           Pavarde442               1    10    10     6     5     9
Vardas443           Pavarde443               9     4     0     0     5    10
Vardas444           Pavarde444               7     8     8     0    10     1
Vardas445           Pavarde445               0     2     7     8     3     6
Vardas446           Pavarde446               1     1     0     3     3     4
Vardas447           Pavarde447               6     6     1     9     3     9
Vardas448           Pavarde448               2     4     2     4     3     8
Vardas449           Pavarde449               0     9     5     7     7     7
Vardas450           Pavarde450               8    10     7     8     8    10
Vardas451           Pavarde451              10     3     6     1     9     9
Vardas452           Pavarde452               3     9     8     2     1     2
Vardas453           Pavarde453               3     8     0     5     9     6
Vardas454           Pavarde454               2     8    10     9     3     3
Vardas455           Pavarde455               9     5     6     2     2     7
Vardas456           Pavarde456               4     9     6    10     9     6
Vardas457           Pavarde457              10     9     1     5     2     6
Vardas458           Pavarde458              10    10     4     9     5     5
Vardas459           Pavarde459               9     4     0    10     7     7
Vardas460           Pavarde460               9    10     3     6     3     3
Vardas461           Pavarde461               4     6     8     4     9     5
Vardas462           Pavarde462               1     0     9     4    10     3
Vardas463           Pavarde463               5     1     1     0     6    10
Vardas464           Pavarde464               9     6     6     5     4    10
Vardas465           Pavarde465              10    10    10     6     0     5
Vardas466           Pavarde466               2     6     7     9     2    10
Vardas467           Pavarde467               9     1     1     3     9     7
Vardas468           Pavarde468               4     9     2     6     1     3
Vardas469           Pavarde469               7     0    10     7     9     7
Vardas470           Pavarde470               6     7     5    10     0     7
Vardas471           Pavarde471               4     3     5     8     1     7
Vardas472           Pavarde472               8     5     7     5    10     5
Vardas473           Pavarde473               8     5     9     7     1    10
Vardas474           Pavarde474               9    10     3     5     8     8
Vardas475           Pavarde475               2     3     3     1     3     2
Vardas476           Pavarde476              10     2     8    10    10     1
Vardas477           Pavarde477               7     4     6     7     0     5
Vardas478           Pavarde478               5     6     5     5     8     4
Vardas479           Pavarde479               4     7     5     0     6     4
Vardas480           Pavarde480              10     0     9     9     7     3
Vardas481           Pavarde481              10     7     1     9     0     2
Vardas482           Pavarde482               8     9     0     9     6     8
Vardas483           Pavarde483               2     5     6     6     2     2
Vardas484           Pavarde484               2     7     6     5     6    10
Vardas485           Pavarde485               5     7     6     8     1     4
Vardas486           Pavarde486               2     5     7     3     4    10
Vardas487           Pavarde487               0     0     7     3     3     8
Vardas488           Pavarde488               3     6     3     0     0     8
Vardas489           Pavarde489               1     2     8     5     0     6
Vardas490           Pavarde490               8    10     8     9     3     1
Vardas491           Pavarde491               3     3     1     9     4     1
Vardas492           Pavarde492              10     4     9     6     0     8
Vardas493           Pavarde493               7    10     3     3     2     1
Vardas494           Pavarde494               7     4     1     5     7     5
Vardas495           Pavarde495               5     3     4     5     7     7
Vardas496           Pavarde496              10     8     2     0    10     7
Vardas497           Pavarde497               8     6     7     7     0     5
Vardas498           Pavarde498               4    10     8     9    10     0
Vardas499           Pavarde499               8     1     4    10     7     3
Vardas500           Pavarde500               2    10     0     5     9     1
Vardas501           Pavarde501               4     6     3     0     8     9
Vardas502           Pavarde502               6     5     4     3     8     7
Vardas503           Pavarde503               0     8     8     1     1     8
Vardas504           Pavarde504              10     3     8     9     9     8
Vardas505           Pavarde505               1     6     3     9     9     2
Vardas506           Pavarde506               4     7     8     7     1     8
Vardas507           Pavarde507               1     9     6     0     3     6
Vardas508           Pavarde508              10     2     9     6     0     3
Vardas509           Pavarde509               0    10     4     4     5    10
Vardas510           Pavarde510               9     7     5     0     6     3
Vardas511           Pavarde511               4     9     7     6     5     1
Vardas512           Pavarde512               7     4     5     9    10     5
Vardas513           Pavarde513               2     7     3     4     3     8
Vardas514           Pavarde514               0     0     2     4     0    10
Vardas515           Pavarde515               5     0     0     2     4     2
Vardas516           Pavarde516               8     7     2     5     7     8
Vardas517           Pavarde517               5     0     2     0     6     8
Vardas518           Pavarde518               1     0    10     6     6     0
Vardas519           Pavarde519               9     1     4     4     5    10
Vardas520           Pavarde520               1     4     5     8     0     1
Vardas521           Pavarde521               2     8     5     4     3     1
Vardas522           Pavarde522               8     4    10     0    10     3
Vardas523           Pavarde523               2     0    10     2     7     1
Vardas524           Pavarde524               9     8     9     1     1     0
Vardas525           Pavarde525              10     3    10     7     3     1
Vardas526           Pavarde526               5     3     3     9     3     9
Vardas527           Pavarde527               7     2     3     0     6     9
Vardas528           Pavarde528               7     5     3     4     9    10
Vardas529           Pavarde529               3     0     6     3    10     4
Vardas530           Pavarde530               8     6    10     1     9     2
Vardas531           Pavarde531               0     6    10     8     3     6
Vardas532           Pavarde532               5     7     7     7     3     3
Vardas533           Pavarde533               8     9     8     3     2    10
Vardas534           Pavarde534               5     4     7    10    10     6
Vardas535           Pavarde535               1    10     1     5     0     9
Vardas536           Pavarde536               3     3     1     7     2     4
Vardas537           Pavarde537               0     1     2     4     8     8
Vardas538           Pavarde538               1     0     8     5    10     4
Vardas539           Pavarde539               1    10     3     6     3     3
Vardas540           Pavarde540               5     6     6     1     9     7
Vardas541           Pavarde541               8     5     3     7     0     8
Vardas542           Pavarde542               5     7     6     1     4    10
Vardas543           Pavarde543               7     7    10     6     2     9
Vardas544           Pavarde544               3     7    10     1    10     6
Vardas545           Pavarde545               2     2     0     2     6     6
Vardas546           Pavarde546               5     9     4     4     4     4
Vardas547           Pavarde547               6     0     3     5     1     4
Vardas548           Pavarde548               9     0     4     8     8     4
Vardas549           Pavarde549              10     0    10     7     7     8
Vardas550           Pavarde550               9     9     4    10     2     9
Vardas551           Pavarde551               7     5     8     0    10     3
Vardas552           Pavarde552               3     8     9     4     5     4
Vardas553           Pavarde553               3     4     8     8     1    10
Vardas554           Pavarde554               7     0    10     8     7     7
Vardas555           Pavarde555               0     1     6     8     3     5
Vardas556           Pavarde556               9     4     6     1     2     2
